lat,lon,name,email,ref:vatin,website,postcode,addr
43.1893550,13.5753830,Monte San Pietrangeli,comune.montesanpietrangeli@emarche.it,IT81001270446,https://www.comune.montesanpietrangeli.fm.it,63815,"Piazza Umberto I, 1"
43.0847540,13.7198870,Monterubbiano,monterubbiano@pec.ucvaldaso.it,IT00357030444,https://www.comune.monterubbiano.fm.it,63825,"Via Trento E Trieste, 1"
43.0282598,13.5801546,Monte Rinaldo,,,,,
43.0569146,13.4254525,Penna San Giovanni,pennasangiovanni@pec.it,IT83002570436,https://www.comune.pennasangiovanni.mc.it,62020,"Piazza Del Municipio, 2"
43.0817007,13.0429675,Muccia,protocollo@pec.comune.muccia.mc.it,IT00263210437,https://www.comune.muccia.mc.it,62034,Via Roma 5
43.1874500,12.9321680,Fiuminata,comune.fiuminata.mc@legalmail.it,IT00266030436,https://www.comune.fiuminata.mc.it,62025,"Via Roma, 30"
42.9944324,13.0010217,Monte Cavallo,comune.montecavallo@pec.it,IT81000130435,https://www.comune.montecavallo.mc.it,62036,Via Roma N. 19
43.3922565,13.1311567,Apiro,comune.apiro.mc@legalmail.it,IT00311510432,https://www.apiro.sinp.net,62021,"Piazza Baldini, 1"
43.1625520,13.2453760,Belforte del Chienti,,,,,
43.0716751,12.9523861,Serravalle di Chienti,comune.serravalledichienti.mc@legalmail.it,IT81000480434,https://www.comune.serravalledichienti.mc.it,62038,"Corso Giacomo Leopardi, 77"
42.9940565,13.2277694,Bolognola,,,,,
43.1385337,13.2248354,Caldarola,comune.caldarola.mc@legalmail.it,IT00217240431,https://www.comune.caldarola.mc.it,62020,"Piazza Vittorio Emanuele, 13"
42.8944925,13.1539297,Castelsantangelo sul Nera,protocollo@pec.comune.castelsantangelosulnera.mc.it,IT00242630432,http://www.comune.castelsantangelosulnera.mc.it/,62039,"Piazza S. Spirito,1"
43.1087889,13.2580261,Cessapalombo,comune.cessapalombo.mc@legalmail.it,IT00242710432,https://www.comune.cessapalombo.mc.it,62020,"Via Mazzini,3"
43.0432872,13.0489107,Pieve Torina,comune.pievetorina.mc@legalmail.it,IT81000190439,https://www.comune.pievetorina.mc.it,62036,"Via Roma, 126"
43.3751550,13.0790690,Poggio San Vicino,comune.poggiosanvicino@emarche.it,IT00312750433,https://www.comune.poggiosanvicino.mc.it,62021,Via Del Comune n.2
43.1084806,13.3187335,San Ginesio,protocollo@pec.comune.sanginesio.mc.it,IT00215270430,https://www.comune.sanginesio.mc.it,62026,"Via Capocastello, N.35"
43.1472457,12.9486299,Sefro,comune.sefro.anagrafe@emarche.it,IT00210940433,https://www.comune.sefro.mc.it,62025,Piazza Bellanti 1
43.2216930,13.4653351,Petriolo,,,,,
43.0319500,13.4386820,Monte San Martino,montesanmartino@pec.it,IT83002470439,https://www.comune.montesanmartino.mc.it,62020,"Piazza XX Settembre, 4"
43.2522080,12.9478268,Esanatoglia,,,,,
43.1864614,13.4809705,Mogliano,ragioneria@pec.comune.mogliano.mc.it,IT00244400438,https://www.comune.mogliano.mc.it,62010,Via A. Adriani n. 6
43.5585540,12.4209510,Apecchio,comune.apecchio@emarche.it,IT82000010411,https://www.comune.apecchio.ps.it,61042,"Via XX Settembre, 8"
43.8676610,12.4712470,Monte Grimano Terme,comune.montegrimanoterme@emarche.it,IT00359290418,https://www.comune.montegrimanoterme.pu.it,61010,Piazzale G. Matteotti N. 1
43.7791620,12.7333550,Petriano,comune.petriano@emarche.it,IT00360540413,https://www.comune.petriano.pu.it,61020,Via San Martino 2
43.7347610,12.8339580,Montefelcino,,,,,
43.6964580,12.4978510,Peglio,comune.peglio@pec.regione.lombardia.it,IT00689040137,https://www.comunepeglio.co.it,22010,"Via Costanzo Antegnati,29"
43.8404600,12.4147470,Monte Cerignone,comune.montecerignone@emarche.it,IT82002090411,https://www.comune.montecerignone.pu.it,61010,"Piazza Clementina,"
43.8115620,12.6310520,Montecalvo in Foglia,comune.montecalvo@emarche.it,IT00360650410,https://www.comune.montecalvo.pu.it,61020,Piazza Municipio 1
43.6319537,12.9018433,Fratte Rosa,comune.fratte-rosa@emarche.it,IT81002490415,https://www.comune.fratte-rosa.pu.it/,61040,"Piazza Matteotti, 11"
43.7304752,12.4414172,Lunano,comune.lunano@emarche.it,IT82001930419,https://www.comune.lunano.pu.it,61026,"Piazza Della Liberta', 11"
43.9668745,12.7563105,Gabicce Mare,comune.gabiccemare@emarche.it,IT00262320419,https://www.comune.gabicce-mare.ps.it,61011,"Via C. Battisti, 66"
43.6907965,12.8126121,Fossombrone,comune.fossombrone@emarche.it,IT00223590415,https://www.comune.fossombrone.ps.it/,61034,Corso Garibaldi 8
43.9388660,12.7712530,Gradara,comune.gradara@emarche.it,IT00347330417,https://www.comune.gradara.pu.it,61012,"Via Mancini, 23"
43.4743093,12.6288151,Cantiano,comune.cantiano@emarche.it,IT00158390419,https://www.comune.cantiano.pu.it,61044,"Piazza Luceoli, 3"
43.8977564,12.7547897,Tavullia,comune@pec.comuneditavullia.it,IT00360380414,https://www.comuneditavullia.it,61010,"Via Roma ,81"
43.6258843,12.6759738,Acqualagna,comune.acqualagna@emarche.it,IT00152230413,https://www.comune.acqualagna.ps.it,61041,"Piazza Mattei,9"
43.8269630,12.8007550,Sant'Angelo in Lizzola,,,,,
43.6857149,12.8716888,Sant'Ippolito,comune.santippolito@emarche.it,IT00360440416,https://www.comune.santippolito.pu.it,61040,Via Raffaello 104
43.7241580,12.4110480,Piandimeleto,comune.piandimeleto@emarche.it,IT00360560411,https://www.comune.piandimeleto.pu.it,61026,Via Giacomo Matteotti 15
43.6896974,13.0456901,Monte Porzio,,,,,
43.6742046,12.9687710,Mondavio,comune.mondavio@emarche.it,IT81001630417,https://www.comune.mondavio.pu.it,61040,"Piazza G.Matteotti, 2"
43.7377610,12.7840570,Isola del Piano,comune.isoladelpiano@emarche.it,IT00360420418,https://www.comune.isola-del-piano.ps.it,61030,Piazza Umberto I N. 1
43.8438497,12.5939243,Tavoleto,comune.tavoleto@emarche.it,IT00352410419,WWW.COMUNE.TAVOLETO.PU.IT,61020,"Piazzale San Vincenzo, 2"
43.4913868,12.7721968,Serra Sant'Abbondio,comune.serrasantabbondio@emarche.it,IT81003370418,serra.segreteria@gmail.com,61040,"Piazzale Del Comune, 1"
43.8402291,12.3591843,Villagrande,,,,,
42.8891265,13.7729827,Spinetoli,protocollo@pec.comune.spinetoli.ap.it,IT00362890444,https://www.comune.spinetoli.ap.it,63078,Piazza Giacomo Leopardi N.31
43.2347405,13.6878517,Sant'Elpidio a Mare,,,,,
43.8051686,12.3782507,Mercato Vecchio,,,,,
43.5137227,12.7344818,Frontone,comune.frontone@emarche.it,IT00314800418,https://www.comune.frontone.pu.it,61040,"Piazza Del Municipio, 19"
43.1661204,13.4164033,Loro Piceno,comune.loropiceno.mc@legalmail.it,IT00185360435,https://www.comune.loropiceno.mc.it,62020,"Piazza Giacomo Matteotti, 2"
