ref:ISTAT,lat,lon,name,postcode,email,ref:vatin,website,Indirizzo
069049,41.9529424,14.5532092,Liscia,66050,comunediliscia@legalmail.it,IT00264620691,www.comune.liscia.ch.it,v. giuseppe garibaldi 8
069011,41.9966867,14.4967248,Carpineto Sinello,66030,comune.carpinetosinello@pec.it,IT00254060692,www.comune.carpinetosinello.ch.it,via rotabile provinciale 11
066048,41.9982970,13.8921340,Introdacqua,67030,comune@pec.introdacqua.gov.it,IT00197560667,www.introdacqua.gov.it,piazza attilio susi
069053,41.9679823,14.3265576,Montelapiano,66040,comunemontelapiano@pec.it,IT81002650695,www.comune.montelapiano.ch.it,via roma 1
066004,41.9964624,13.8172424,Anversa degli Abruzzi,67030,comunedianversa@pec.it,IT00161690664,www.comune.anversa.aq.it/,via g. manso 5. 67030 anversa degli abruzzi (aq)
066012,42.0090215,13.8577804,Bugnara,67030,comunebugnara@pec.arc.it,IT00190300665,www.comune.bugnara.aq.it,via vittorio emanuele 67030 bugnara (aq)
069103,41.9742901,14.3813998,Pietraferrazzana,66040,comune.pietraferrazzana@pec.it,IT81001680693,www.comune.pietraferrazzana.ch.it,via san sebastiano 7
069026,41.9895870,14.3866970,Colledimezzo,66040,comunecolledimezzo@pec.it,IT00251050696,www.comunecolledimezzo.ch.it,piazza vizioli 1
066063,41.9956160,13.7398257,Ortona dei Marsi,,,,,
069036,41.9863210,14.6589708,Fresagrandinaria,,,,,
069044,41.9938520,14.4859545,Guilmi,66050,comune.guilmi@pec.it,IT00254250699,www.comune.guilmi.ch.it,via italia 54
069048,42.0013954,14.1572655,Lettopalena,66010,comune.lettopalena@legalmail.it,IT00230170698,www.comunelettopalena.it,via maiella 4
069009,41.9880081,14.3215141,Montebello sul Sangro,66040,comunemontebellosulsangro@emailcertificatapec.it,IT81001740695,www.comune.montebellosulsangro.ch.it,via terza traversa 2
069063,42.0082079,14.3184408,Pennadomo,66040,servizidemografici@legalmail.it,IT00248530693,www.comunepennadomo.com,via maiella 13
069025,42.0012333,14.2109432,Colledimacine,66010,comune.colledimacine@pec.it,IT00268080694,www.comune.colledimacine.ch.it,via orientale 29
066085,42.0102573,13.5948652,San Benedetto dei Marsi,67058,lavoripubblicisbm@pec.it,IT81002890663,comune.sanbenedettodeimarsi.aq.it,piazza nelio cerasani
069038,42.0328441,14.6127385,Furci,66050,comune.furci@pec.it,IT81000970699,www.comune.furci.ch.it,via trento e trieste 9
069095,42.0279062,14.2743114,Torricella Peligna,66019,protocollo@pec.comune.torricellapeligna.ch.it,IT00219260692,www.comune.torricellapeligna.ch.it,viale raffaele paolucci 3
066080,42.0214591,13.1274623,Rocca di Botte,67066,info@pec.comune.roccadibotte.aq.it,IT00181800665,www.comune.roccadibotte.aq.it,via delle scuole 2
069092,42.0281359,14.4240676,Tornareccio,66046,protocollo@pec.comune.tornareccio.ch.it,IT81001210699,www.comune.tornareccio.ch.it,via del carmine 8
066033,42.0517019,13.6024641,Cerchio,67044,comunedicerchio@pec.it,IT00185810660,www.comunedicerchio.it,via francesco crispi
069089,42.0350842,14.1468044,Taranta Peligna,66018,protocollo@pec.comune.tarantapeligna.ch.it,IT00153460696,www.comune.tarantapeligna.ch.it,piazza municipio 5
069045,42.0544819,14.1614473,Lama dei Peligni,,,,,
066066,42.0603124,14.0297086,Pacentro,67030,comune.pacentro@pec.it,IT83000650669,www.comune.pacentro.aq.it,via santa maria maggiore 22
069014,42.0497391,14.5116188,Casalanguida,66031,comunedicasalanguida@legalmail.it,IT81000750695,www.comune.casalanguida.ch.it,via porta da capo 1/3
069075,42.0707606,14.3227125,Roccascalegna,66040,pec@comuneroccascalegna.it,IT81001800697,www.comuneroccascalegna.gov.it,via roma 12
066062,42.0635892,13.0446534,Oricola,67063,ragioneria@pec.comune.oricola.aq.it,IT00181950668,www.comune.oricola.aq.it,via castello 20
069002,42.0818856,14.3900862,Archi,66044,sindaco.comunediarchi@pec.net,IT81002460699,www.comunediarchi.it,via castello 2
069040,42.0501464,14.2697459,Gessopalena,66010,prot@pec.comune.gessopalena.ch.it,IT81002030690,www.comune.gessopalena.ch.it,piazzale marino turchi 2
066031,42.1077413,13.7262937,Castelvecchio Subequo,67024,castelvecchio.subequo@pec.it,IT00208410662,www.castelvecchio-subequo.it,via roma 64
066027,42.0940380,13.7512862,Castel di Ieri,67020,casteldiieri@pec.it,IT00235390663,comune.casteldiieri.aq.it,via sanguineto
066025,42.1228657,13.1119560,Carsoli,67061,comune.carsoli@pec.it,IT00217280668,www.comune.carsoli.aq.it,piazza della libertà 1
069017,42.1251972,14.3063865,Casoli,66043,comune.casoli.ch@halleycert.it,IT81000890699,http://www.comune.casoli.ch.it/,via frentana 30
066077,42.1025360,13.8098051,Raiano,67027,comuneraiano@postecert.it,IT00219510666,www.comune.raiano.aq.it,piazzale sant'onofrio 10
068037,42.1048021,14.0331628,Sant'Eufemia a Maiella,65020,info@pec.comune.santeufemiaamaiella.pe.it,IT81000470682,www.comune.santeufemiaamaiella.pe.it,piazza della vittoria 6
069001,42.1090394,14.3553634,Altino,66040,protocollo@pec.comune.altino.ch.it,IT81001430693,www.comune.altino.ch.it,via san pietro 54f
069062,42.1273713,14.2139006,Palombaro,66010,comunepalombaro@servercertificato.it,IT00252920699,www.comune.palombaro.gov.it,viale giulio menna 1
069065,42.1092547,14.3937979,Perano,66040,info@pec.comune.perano.ch.it,IT81002440691,www.comune.perano.ch.it,piazza umberto i
069064,42.1435815,14.1734248,Pennapiedimonte,66010,comune.pennapiedimonte@pec.it,IT00235550696,www.comune.pennapiedimonte.ch .it,"via calvario,9"
066089,42.1180657,13.2073769,Sante Marie,67067,comunedisantemarie@pec.it,IT00191110667,www.comune.santemarie.aq.it,piazza a.moro
069068,42.1385897,14.5906674,Pollutri,66020,comunedipollutri@legalmail.it,IT00233510692,www.comunedipollutri.it,corso g. paolo ii 26
068036,42.1551310,13.9409690,Salle,65020,ragioneria@pec.comune.salle.pe.it,IT81000510685,www.comune.salle.pe.it,piazza beato roberto
069059,42.1703177,14.4877451,Paglieta,66020,protocollo@pec.comune.paglieta.ch.it,IT81002240695,www.comune.paglieta.ch.it,via martelli di matteo 10
069085,42.1597989,14.3559937,Sant'Eusanio del Sangro,66037,comune.santeusaniodelsangro@legalmailpa.it,IT00256160698,www.comune.santeusaniodelsangro.chieti.it,piazza cesare de titta 7
066108,42.1357521,13.8074229,Vittorito,67030,protocollo.comunedivittorito@pec.it,IT83000790663,www.comune.vittorito.aq.it,via roma 4
066045,42.1195357,13.6726590,Gagliano Aterno,67020,comunegaglianoaterno@pec.it,IT00212360663,www.comune.gaglianoaterno.gov.it,piazza municipio
066097,42.1582607,13.6419676,Secinaro,67029,comunedisecinaro@pec.it,IT00216460667,www.secinaro.comnet-ra.it/,via dell'aia 24
069069,42.2002502,14.1376718,Pretoro,66010,comunepretoro@pec.it,IT80003870690,www.comune.pretoro.ch.it,via dei mulini 3 a
069071,42.1981641,14.1661870,Rapino,,,,,
069046,42.2118509,14.4036846,Lanciano,66034,comune.lanciano.chieti@legalmail.it,IT00091240697,www.lanciano.eu,piazza plebiscito 59
069091,42.1943855,14.5598062,Torino di Sangro,66020,protocollo@comunetorinodisangro.legalmail.it,IT00243570694,www.comune.torinodisangro.ch.it,piazza donato iezzi 15
068003,42.2117660,13.9515477,Bolognano,65020,protocollo@pec.comunebolognano.it,IT00170370688,www.comunebolognano.it,viale dei colli 26
069018,42.1984249,14.3530910,Castel Frentano,66032,protocollo@pec.comunedicastelfrentano.it,IT00253170690,www.comunedicastelfrentano.it,corso roma 25
068020,42.2234049,14.0571808,Lettomanoppello,65020,comune.lettomanoppello@pec.it,IT00254240682,www.lecto.it/,piazza umberto i 1
068001,42.2050404,14.0396555,Abbateggio,65020,abbateggio@pec.pescarainnova.it,IT00172780686,www.comune.abbateggio.pe.it,via roma 8
066052,42.2578068,13.3769550,Lucoli,67045,protocollo.lucoli.aq@legalmail.it,IT00094420668,www.comune.lucoli.aq.it,via francesco saverio gualtieri 10
068005,42.2252070,13.8390646,Bussi sul Tirino,65022,info.comunebussisultirino@pec.it,IT00231710682,www.comune.bussisultirino.pe.it,via regina margherita 1
069056,42.1943776,14.4470606,Mozzagrogna,66030,comune.mozzagrogna@legalmail.it,IT00251720694,www.comunemozzagrogna.it,piazza san rocco 1
069100,42.1774500,14.5698327,Villalfonsina,66020,comunevillalfonsina@postecert.it,IT00240830695,www.comune.villalfonsina.ch.it,corso adriatico 21
069084,42.2136238,14.4536612,Santa Maria Imbaro,66030,comune.smimbaro@legalmail.it,IT00210400693,www.comune.santamariaimbaro.ch.it,via piane 12
069033,42.2366191,14.4826559,Fossacesia,66022,comune@pec.fossacesia.org,IT00182910695,comune.fossacesia.ch.it,via marina 18
069057,42.2406649,14.2988442,Orsogna,66036,info@pec.comune.orsogna.chieti.it,IT81001270693,www.comune.orsogna.chieti.it,piazza mazzini. 5
068038,42.2305618,13.9816592,San Valentino in Abruzzo Citeriore,65020,info@pec.comune.sanvalentino.pe.it,IT81000410688,www.comune.sanvalentino.gov.it,via fiume 4
068040,42.2345423,14.1033445,Serramonacesca,65025,serramonacesca@pec.pescarainnova.it,IT00219620689,,via g. marconi 2
069032,42.2349776,14.2439479,Filetto,66030,filetto@pec.comune.filetto.ch.it,IT80000470692,www.comune.filetto.ch.it,piazza municipio 2
069082,42.2293526,14.2157128,San Martino sulla Marrucina,66010,protocollo@pec.sanmartinosm.it,IT00261340699,www.sanmartinosm.it,via piano della chiesa 1
069067,42.2517541,14.3258150,Poggiofiorito,66030,info@pec.comune.poggiofiorito.ch.it,IT00178630695,www.comune.poggiofiorito.ch.it,piazza della vittoria 1
068043,42.2536627,13.9334945,Torre de' Passeri,,,,,
068029,42.2429151,13.8775237,Pescosansonesco,65020,sindaco@pec.comune.pescosansonesco.pe.it,IT81002350684,www.pescosansonesco.pe.it,via municipio 14
069037,42.2661662,14.3812638,Frisa,66030,protocollo@pec.comune.frisa.ch.it,IT00249480690,www.comune.frisa.ch.it,piazza principe di piemonte 16
068044,42.2666253,14.0265042,Turrivalignani,65020,comuneturrivalignani.suap@legalmail.it,IT00224700682,www.comune.turrivalignani.pe.it,piazza martiri di marcinelle 4
069098,42.2911862,14.2323462,Vacri,66010,comune.vacri.ch@legalmail.it,IT00252790696,www.comune.vacri.ch.it,corso umberto i n.19
069003,42.2897181,14.2577555,Ari,66010,protocollo.ari@pec.it,IT00252780697,www.comune.ari.ch.it,via papa giovanni xxiii
068032,42.2877489,13.9146947,Pietranico,65020,pietranico@pec.pescarainnova.it,IT00221280688,comune.pietranico.pe.it,via adua 1
068016,42.2770844,13.8725634,Corvara,65020,info@pec.comune.corvara.pe.it,IT81001310689,www.comune.corvara.pe.it,contrada vicenne 25
069008,42.3088290,14.1705874,Bucchianico,66011,protocollo@pec.comune.bucchianico.ch.gov.it,IT00251860698,www.comune.bucchianico.ch.it/,piazza san camillo de lellis (gia piazza roma)
069096,42.2634072,14.4229806,Treglio,66030,treglio@legalmail.it,IT81002800696,www.comune.treglio.chieti.it,largo vescovile 1
069086,42.2945297,14.4352477,San Vito Chietino,,,,,
068004,42.3038369,13.8560368,Brittoli,65010,comune.brittoli@pecfatturapa.it,IT80001450685,www.comune.brittoli.pe.it,via garibaldi 5
069101,42.3292443,14.2351032,Villamagna,66010,anagrafe@pec.comunedivillamagna.it,IT00180880692,www.comunedivillamagna.it,largo municipio 1
068013,42.3447202,13.9187207,Civitaquana,65010,info@pec.comune.civitaquana.pe.it,IT80001190687,www.comune.civitaquana.pe.it,piazza umberto i 26
068017,42.3091879,13.9459331,Cugnoli,65020,sindaco@pec.comune.cugnoli.pe.it,IT80003250687,www.comune.cugnoli.pe.it/,via roma 5
069042,42.3137169,14.2833791,Giuliano Teatino,66010,comune.giulianoteatino@pec.it,IT00239020696,www.comune.giulianoteatino.ch.it,piazza don cocco 2
069090,42.3463429,14.3187246,Tollo,66010,comune.tollo@legalmail.it,IT00145440699,www.comune.tollo.ch.it,piazza della liberazione
068026,42.3416433,13.9989723,Nocciano,,,,,
068035,42.3356758,14.0489645,Rosciano,65020,ragioneria.comunedirosciano@pec.it,IT00223210683,www.comunedirosciano.it,piazza enrico berlinguer 8
068045,42.3426377,13.8932267,Vicoli,65010,info@pec.comune.vicoli.pe.it,IT00229630686,www.comune.vicoli.pe.it/,via a. ciarrocca 1
068008,42.3431914,13.8417930,Carpineto della Nora,65010,protocollo@pec.comune.carpinetodellanora.pe.it,IT80001250689,www.comune.carpinetodellanora.pe.it,via regina margherita
068010,42.3481419,13.9719562,Catignano,65011,ragioneria.catignano@registerpec.it,IT80001570680,www.comune.catignano.pe.it,piazza marconi 2
069072,42.3690719,14.2448860,Ripa Teatina,66010,comune.ripateatina.ch@pec.it,IT00179840699,www.comuneripateatina.gov.it,via nicola marcone 42
068014,42.3837184,13.8732260,Civitella Casanova,65010,civitellacas.protocollo@pec-comuni.it,IT00228640686,www.comune.civitellacasanova.pe.it,corso umberto i 4
068046,42.3860334,13.8452019,Villa Celiera,65010,info@pec.comune.villaceliera.pe.it,IT00230080681,ww.comune.villaceliera.pe.it,via sant'egidio 92 villa celiera
068021,42.4154458,13.9723971,Loreto Aprutino,65014,comune.loretoaprutino@pec.it,IT00127900686,comune.loretoaprutino.pe.it,via dei mille n.8
069035,42.4126934,14.2745828,Francavilla al Mare,,,,,
068023,42.4176355,13.8634583,Montebello di Bertona,65010,finanziariomontebello@pec.it,IT80001270687,www.comune.montebellodibertona.pe.it,piazza sandro pertini 1
068041,42.4381066,14.1417274,Spoltore,65010,protocollo@pec.comune.spoltore.pe.it,IT00128340684,www.comune.spoltore.pe.it,"via g. di marzio,66"
068025,42.4377161,14.0629522,Moscufo,65010,protocollo@pec.comunedimoscufo.it,IT80014150686,www.comunedimoscufo.it,piazza umberto i 9
066008,42.4496582,13.2816593,Barete,67010,comune.barete.aq@legalmail.it,IT00148360662,www.comune.barete.aq.it,piazza del duomo 1
066013,42.4488789,13.2037701,Cagnano Amiterno,67012,segreteria@pec.comune.cagnanoamiterno.aq.it,IT80003670660,comune.cagnanoamiterno.aq.it,via sallustio 4
067026,42.4893792,13.6371001,Isola del Gran Sasso d'Italia,64045,info@cert.isoladelgransasso.gov.it,IT80003790674,www.isoladelgransasso.gov.it,piazza contea di pagliara 16
067012,42.4856744,13.7269242,Castelli,64041,comune.castelli@pec.it,IT00179510672,www.comune.castelli.te.it,p.zza roma 13
068015,42.4633796,14.0459029,Collecorvino,65010,protocollo.collecorvino@raccomandata.eu,IT00137880688,www.comune.collecorvino.pe.it,via tito acerbo 5
068006,42.4719494,14.1051673,Cappelle sul Tavo,65010,cappellesultavo@pec.it,IT00192710689,www.cappellesultavo.gov.it,piazza marconi 24
068024,42.4962364,14.1428514,Montesilvano,65015,protocollo@comunemontesilvano.legalmail.it,IT00193460680,www.comune.montesilvano.pe.it,piazza diaz n 1
067034,42.5005426,13.5496356,Pietracamela,64047,postacert@pec.comune.pietracamela.te.it,IT80005250677,www.comune.pietracamela.te.it,via xxv luglio 19
068012,42.5129017,14.0720712,Città Sant'Angelo,65013,comune.cittasantangelo@pec.it,IT00063640684,www.comune.cittasantangelo.pe.it,piazza iv novembre 1
066021,42.5259918,13.3015776,Capitignano,67014,protocollo@pec.comune.capitignano.aq.it,IT00164280661,https://www.comune.capitignano.aq.it/,piazza municipio 1
068018,42.5163069,13.9807888,Elice,65010,postacert@pec.comunedielice.gov.it,IT00221990682,www.comunedielice.gov.it,piazza della libertà 1
067013,42.5215850,13.8756137,Castiglione Messer Raimondo,64034,protocollo@pec.comune.castiglione.te.it,IT00195720677,www.comune.castiglione.te.it,via vittorio emanuele ii
067014,42.5324059,13.9457041,Castilenti,64035,protocollo@pec.comune.castilenti.te.it,IT81000270678,www.comune.castilenti.te.it,piazza umberto i 16
066016,42.5495327,13.3623383,Campotosto,67013,protocollo@pec.comune.campotosto.aq.it,IT00085160661,www.comune.campotosto.aq.it,piazza della chiesa
067023,42.5535869,13.4828349,Crognaleto,64043,responsabilesegreteriacrognaleto@postecert.it,IT80004590677,www.comune.crognaleto.te.it,via c. battisti f.ne nerito
067045,42.5526759,13.6416191,Tossicia,64049,anagrafe@comunetossicia.gov.it,IT80000370678,www.comune.tossicia.te.it,contrada piano dell'addolorata
067010,42.5443571,13.7311616,Castel Castagna,64030,protocollo@pec.comunedicastelcastagna.gov.it,IT80006810677,https://www.comune.castelcastagna.te.it,via giacomo matteotti
067018,42.5530938,13.6864528,Colledara,64042,postacert@pec.comune.colledara.te.it,IT80004630671,www.comunedicolledara.gov.it,via san paolo
067027,42.5597192,13.8950887,Montefino,,,,,
067015,42.5844168,13.8600384,Cellino Attanasio,64036,postacert@pec.comune.cellinoattanasio.te.it,IT81000350678,www.comunecellinoattanasio.te.it,via rubini 1
067033,42.5838221,13.7708992,Penna Sant'Andrea,64039,postacert@pec.comune.pennasantandrea.te.it,IT80005210671,www.comune.pennasantandrea.te.it,piazza v. veneto 1
067016,42.5869969,13.8044651,Cermignano,64037,certmail@pec.comune.cermignano.te.gov.it,IT80003870674,www.comune.cermignano.te.gov.it,via roma
067022,42.6322529,13.4904107,Cortino,64040,protocollo@pec.comunedicortino.gov.it,IT80004350676,www.comunedicortino.gov.it,frazione pagliaroli
067011,42.6622804,13.8369007,Castellalto,64020,castellalto.ragioneria@raccomandatacertificata.it,IT80004770675,www.comune.castellalto.te.it,via madonna degli angeli 21
067009,42.6574274,13.8060852,Canzano,64020,protocollo@pec.comune.canzano.te.it,IT80004810679,www.comune.canzano.te.it,via garibaldi 15
067043,42.6759805,13.6105253,Torricella Sicura,64010,comune.torricellasicura@legalmail.it,IT80003050673,www.comume.torricellasicura.te.it,piazza mario capuani
067006,42.7434796,13.8077826,Bellante,64020,protocollo@pec.comune.bellante.te.it,IT00212050678,www.comune.bellante.te.it/,piazza mazzini 1
067044,42.7986564,13.9011695,Tortoreto,64018,comune@tortoretopec.it,IT00173630674,www.comune.tortoreto.te.it,piazza libertà 12
067031,42.8195823,13.8149515,Nereto,64015,protocollo@pec.comune.nereto.te.it,IT00422080671,www.comune.nereto.te.it,piazza della repubblica 1
067042,42.8248221,13.7751371,Torano Nuovo,64010,protocollotorano@postecert.it,IT00413580671,www.torano.it,corso umberto i 30
067047,42.8640751,13.9090131,Martinsicuro,64014,protocollo.martinsicuro@pec.it,IT82001180676,www.comune.martinsicuro.te.it,via aldo moro 32a
