Regione,ASL,Città,CAP,Indirizzo,dug,civico,Farmacie,"Data Adesione al
protocollo"
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,L'aquila,67100,Via L. Da Vinci 27,Via L. Da Vinci,27,A.F.M. Pettino,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40129,Via Matteotti 29,Via Matteotti,29,al Sacro Cuore S.A.S.,2021-08-10T00:00:00Z
100 - Umbria,202 - AUSL UMBRIA N.2,Giano dell'umbria,06030,Via Primo Maggio 14 Bastardo Di Giano dell'umbria,Via Primo Maggio,14,Farchioni Dott. Mariella S.N.C.,2021-08-08T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Bibbiano,42020,Piazza Xxv Aprile 4 ,Piazza Xxv Aprile,4,Farmacia Aldini S.N.C.,2021-08-14T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43121,Via Repubblica 70/b,Via Repubblica,70b,Farmacia Allegri S.N.C.,2021-08-23T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Camposanto,41031,Via Francesco Baracca 48,Via Francesco Baracca,48,Farmacia Rosta S.A.S.,2021-08-10T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Arsiero,36011,Via G Marconi 13,Via G Marconi,13,Farmacia Vianello Dott. Vianello Luca,2021-08-11T00:00:00Z
130 - Abruzzo,204 - TERAMO,Villa Lempa,64010,Viale Piceno Aprutino 104,Viale Piceno Aprutino,104,Farmacia Villa Lempa dei Dottori Carpentieri Mauri,2021-08-09T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Longarone,32013,Via Roma 82,Via Roma,82,Farmacia Zampieri S.A.S.,2021-08-10T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37121,Via G Mazzini 11,Via G Mazzini,11,Lioydsfarmacia San Tomio,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano,39100,Portici 17,Portici,17,Madonna,2021-08-06T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40131,Via Vittorio Veneto 19,Via Vittorio Veneto,19,al Velodromo S.N.C.,2021-08-31T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44121,Viale Cavour 48,Viale Cavour,48,Centrale S.A.S. della Dott.ssa Lucia Borghi,2021-08-09T00:00:00Z
050 - Veneto,504 - AZIENDA ULSS N. 4 VENETO ORIENTALE,Caorle,30021,Rio Terra 28/30,Rio Terra,28,Farmacia al Redentore S.R.L.,2021-08-11T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Bastia Umbra,06083,Via Roma 21,Via Roma,21,Farmacia Angelini di Dott.ssa Beatrice Susta Angel,2021-08-10T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Caerano di San Marco,31031,Via Montello 21,Via Montello,21,Farmacia Caerano di Farmacie Gt Dr. Giacomelli e C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Carpi,41012,Via Ludovico Ariosto 6,Via Ludovico Ariosto,6,Farmacia dell'assunta,2021-08-16T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Cortina D'ampezzo,32043,Cso Italia 151,Cso Italia,151,Farmacia Internazionale S.R.L.,2021-08-06T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Arzignano,36071,Corso Matteotti 67/4,Corso Matteotti,67/4,Farmacia Ognissanti Snc di Bonati G. E F.Lli,2021-08-30T00:00:00Z
130 - Abruzzo,204 - TERAMO,Notaresco,64020,Via Antica Salara 1 ,Via Antica Salara,1,Farmacia Sciarretta S.N.C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Boretto,42022,Via Umberto 1x 2,Via Umberto,2,Sarzi Amade',2021-08-09T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano,39100,Via della Mostra 10,Via della Mostra,10,St Anna,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Brescello,42041,Piazza Marconi 6,Piazza Marconi,6,Camellini Secondo S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40129,Via Fioravanti 26,Via Fioravanti,26,Farmacia del Navile S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29121,Piazza Borgo 40,Piazza Borgo,40,Farmacia Fiorani di Dr. Paolo Cordani,2021-08-10T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Cappella Maggiore,31012,Piazza Vittorio Veneto 34,Piazza Vittorio Veneto,34,Farmacia Marson S.N.C.,2021-08-10T00:00:00Z
190 - Sicilia,204 - ASP ENNA,Assoro,94010,Via Crisa 309,Via Crisa,309,Farmacia Pesco e C S.N.C.,2021-08-17T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Venezia,30121,Cannaregio 122/e,Cannaregio,122e,Farmacia Santa Lucia,2021-08-10T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43126,Via Emilia Ovest 151/a,Via Emilia Ovest,151a,Farmacia S Filippo Neri di Beduschi Fabrizio,2021-08-11T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40128,Via di Corticella 68,Via di Corticella,68,Bettini S.N.C.,2021-08-09T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16136,Corso Firenze 10R,Corso Firenze,10r,Farmacia Castelletto di Farmacie Riunite Castellet,2021-08-11T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Carpi,41012,Via Cesare Beccaria 1/a,Via Cesare Beccaria,1a,Farmacia dell'ospedale Snc di Rita E Donatella Surace,2021-08-10T00:00:00Z
130 - Abruzzo,204 - TERAMO,Martinsicuro,64010,Via Roma 545 ,Via Roma,545,Farmacia Dott.ssa De Carolis Selma,2021-09-06T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Carbonera,31030,Via degli Alpini 16,Via degli Alpini,16,Farmacia Dr.ssa Elisabetta Iellousheg,2021-08-06T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Gazzola,29010,Via Roma 82/1,Via Roma,82/1,Farmacia San Lorenzo del Dr. Dieci Gian Paolo,2021-08-13T00:00:00Z
100 - Umbria,202 - AUSL UMBRIA N.2,Bevagna,06031,Via Alcide De Gasperi 41/45 Bevagna,Via Alcide De Gasperi,41,Farmacia Santi Dott. Pietro S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Corso Giovecca 125,Corso Giovecca,125,Fides,2021-08-10T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Paganica - L'aquila,67016,Via del Rio 6,Via del Rio,6,Farmacia Alessandroni S.R.L.,2021-08-09T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Battaglia Terme,35041,Via Colli Euganei 84-86,Via Colli Euganei,84-86,"Farmacia Alla Madonna S.N.C. Dei Dottori Contarini Antonio, Francesco E Marta",2021-08-09T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Cadelbosco di Sopra,42023,Via Saccani 1/l,Via Saccani,1l,Farmacia Bertolani S.A.S.,2021-08-09T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Podenzano,29027,Via Montegrappa 101,Via Montegrappa,101,Farmacia Bonini di Raimonda e Laura Bonini S.N.C.,2021-08-10T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Feltre,32032,Via Luigi Negrelli 7,Via Luigi Negrelli,7,Farmacia Comunale All'ospedale,2021-08-09T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Arzignano,36071,Via Roma 41,Via Roma,41,Farmacia De Antoni Snc del Dr. De Antoni e Figli,2021-08-24T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43121,Viale Mentana 97/a,Viale Mentana,97a,Farmacia Mentana Sas di Roberti Dott.ssa Lucia e C,2021-08-09T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Canda,45020,Piazza D Alighieri 16,Piazza D Alighieri,16,Farmacia Piola Dr Giorgio,2021-08-23T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37121,Via Massalongo 3/c,Via Massalongo,3c,Farmacia S Anastasia della Dott.ssa Anna Maria Festa e C S.A.S.,2021-08-11T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Casale sul Sile,31032,Via Trevigiana 2/c,Via Trevigiana,2c,Farmacia Savio Snc delle Dr.sse Savio Nadia e Meri,2021-08-06T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Lanciano,66034,V.Ledei Cappuccini 367/369,V.Ledei Cappuccini,367,Farmacia Sciarra S.R.L.,2021-08-06T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via Bologna 78,Via Bologna,78,Nuova Farmacia Jublin S.A.S. Del Dottor Marco De Grandi,2021-08-09T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16121,Via S Vincenzo 92R,Via S Vincenzo,92r,Antica Farmacia Briata S N C,2021-08-09T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Casier,31030,Via Marina Cattaneo 6 ,Via Marina Cattaneo,6,Dosson S.R.L.,2021-08-09T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Asiago,36012,Piazza Ii Risorgimento 23,Piazza Ii Risorgimento,23,Farmacia Chimica Bortoli Sas del Dr Vittorino Mol,2021-08-08T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Castelvetro Piacentino,29010,Via G Saragat 3,Via G Saragat,3,Farmacia Dott. Carlo Bossi S.R.L.,2021-08-17T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Bucchianico,66011,Piazza Roma 38 Bis,Piazza Roma,38,Farmacia Dr. Giorgio Madonna,2021-08-06T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Santo Stefano di Cadore,32045,Via Udine 83,Via Udine,83,Farmacia Europea,2021-08-10T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Venezia,30126,Vle S. M. Elisabetta 55/a,Vle S. M. Elisabetta,55a,Farmacia Internazionale Sas Dr.ssa Marangoni Caterina,2021-08-20T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43121,Via Garibaldi 28/b,Via Garibaldi,28b,Farmacia Mantovani,2021-08-30T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40123,Via Portanova 2,Via Portanova,2,Farmacia San Salvatore della Tefifarma S.R.L.,2021-08-26T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Cadelbosco di Sotto,42023,Via Ilaria Alpi 1/b,Via Ilaria Alpi,1b,Martelli,2021-08-09T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano,39100,Via Milano 46,Via Milano,46,Perini,2021-08-06T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40121,Piazza Maggiore 6,Piazza Maggiore,6,Comunale Centro Piazza Maggiore,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Campagnola Emilia,42012,Piazza Roma 58,Piazza Roma,58,Farmacia Campagnola Emilia di Enrico Cagossi e C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Castel San Giovanni,29015,Corso Matteotti 35/b,Corso Matteotti,35b,Farmacia Dr. Bozzi di Bozzi Paola e C. S.N.C.,2021-08-12T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Castello di Godego,31030,Via Marconi 49/c,Via Marconi,49c,Farmacia Monti Godego Sas Di Farmacia Monti S.N.C.,2021-08-06T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Borgoricco,35010,Via Desman 159,Via Desman,159,Farmacia Occari S.R.L.,2021-08-07T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Asiago,36012,Viale Matteotti Sporting Resort,Viale Matteotti Sporting Resort,,Farmacia Rossi Sas di Zuccato Dr Adelchi C,2021-08-12T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Cannara,06033,Via Vittorio Emanuele Ii 19/23,Via Vittorio Emanuele Ii,19,Fondazione Irre Cannara,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Campegine,42040,Via Aldo Moro 8 B/c,Via Aldo Moro,8,Alberti,2021-08-09T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Barbarano Vicentino,36021,Via Iv Novembre 58,Via Iv Novembre,58,Antica Farmacia Boldrin Sas Di Boldrin a e C,2021-08-17T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40126,Via Mentana 5,Via Mentana,5,dal Contavalli,2021-08-09T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37121,Cso Porta Borsari 46,Cso Porta Borsari,46,Farmacia al Giglio,2021-08-10T00:00:00Z
130 - Abruzzo,204 - TERAMO,Colonnella,64010,Via Roma 45,Via Roma,45,Farmacia Castagna di Giovanna E Filippo Castagna S.N.C.,2021-08-07T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Castell'arquato,29014,Via Roma 6,Via Roma,6,Farmacia Castell'arquato S.R.L.,2021-08-09T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43121,Via Mazzini 10/c,Via Mazzini,10c,Farmacia Contini di Brembilla Dott Alberto e C. S.N.C.,2021-08-23T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16123,Vico Notari 7R,Vico Notari,7r,Farmacia del Ducale di Basola e Del Grande S.N.C.,2021-08-30T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Filetto,66030,Via Roma 35,Via Roma,35,Farmacia Dr. Luigi Libertini,2021-08-06T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Bovolenta,35024,Via G Garibaldi 1,Via G Garibaldi,1,Farmacia Fabro S.A.S.,2021-09-03T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Castelfranco Emilia,41013,Corso Martiri 224,Corso Martiri,224,Farmacia Gulmanelli S.R.L.,2021-08-11T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Belluno,32100,Piazza Santo Stefano 10,Piazza Santo Stefano,10,Farmacia Venture Pharma,2021-08-11T00:00:00Z
100 - Umbria,202 - AUSL UMBRIA N.2,Cascia,06043,Largo A. Elemosina 7 Cascia,Largo A. Elemosina,7,S Rita Dr Antonini Morena,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via Saraceno 55,Via Saraceno,55,Tomaini,2021-08-17T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bressanone,39042,Via Ponte Aquila 4,Via Ponte Aquila,4,Antica Farmacia Peer,2021-08-06T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40131,Via Marco Polo 3,Via Marco Polo,3,Cooperativa S.R.L.,2021-08-10T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37139,Via Bassone 56 Località Bassona,Via Bassone,56,Farmacia Capri,2021-08-10T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Carpineti,42033,Via San Vitale 9,Via San Vitale,9,Farmacia Carpineti S.A.S.,2021-08-09T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Castelfranco Veneto,31033,Borgo Treviso 138/a,Borgo Treviso,138a,Farmacia Dr Monti Snc dei Dr. Carli Elena e Alessandro,2021-08-06T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Perugia,06132,Via Strazzacapponi 88/f,Via Strazzacapponi,88f,Farmacia Luciani S.N.C. di Luciani Dott. Augusto E,2021-08-06T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Castelfranco Emilia,41013,Via dei Mille 24,Via dei Mille,24,Farmacia Masini Dr Giuseppe,2021-08-10T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Casalanguida,66031,Via del Popolo 86,Via del Popolo,86,Antica Farmacia D'annunzio S.A.S. Di Anna Maria An,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Casalgrande,42013,Piazza Martiti Libertàn 15,Piazza Martiti Libertàn,15,Carpanini,2021-08-06T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Bassano del Grappa,36061,Via Passalacqua 10/a,Via Passalacqua,10a,Farmacia alle Grazie Snc di Todesco Enrico e C,2021-08-11T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43123,Via S. Pertini 10/b,Via S. Pertini,10b,Farmacia Amadasi Snc di Corbelli Dr Nella e di Dardani Dr Claudio,2021-08-18T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Salzano,30030,Via Roma 65,Via Roma,65,Farmacia Comunale di Salzano,2021-08-11T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Ponte dell'olio,29028,Via Vittorio Veneto 99,Via Vittorio Veneto,99,Farmacia Dott. Rebecchi,2021-08-27T00:00:00Z
130 - Abruzzo,204 - TERAMO,Teramo,64100,Viale Crispi 137,Viale Crispi,137,Farmacia Iannetti,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Castiglione del Lago,06061,Via E.De Nicola 1,Via E.De Nicola,1,Farmacia Nafissi S.R.L.,2021-08-06T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Castelnuovo Rangone,41013,Via Matteotti 10,Via Matteotti,10,Farmacie Associate Cavani S.N.C.,2021-08-16T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16161,Via Sbarbaro 19,Via Sbarbaro,19,Farmacie Cmc di Angelo Bodrato e C. S.N.C.,2021-08-17T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44121,Cso Martiri della Liberta,Cso Martiri della Liberta,,Navarra,2021-08-10T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40131,Via Saffi 63,Via Saffi,63,Croce Bianca S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Travo,29020,Via Roma 15,Via Roma,15,Farmacia Colombi S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43100,Via N Bixio 5,Via N Bixio,5,Farmacia Coop Bixio,2021-08-09T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Arsiè,32030,Via Crociera 24,Via Crociera,24,Farmacia Cunial Gianantonio,2021-08-11T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Piegaro,06060,Via Foschi 9,Via Foschi,9,Farmacia Francario S.N.C. di Francario E Vecchi,2021-08-27T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Casina,42034,Via Roma 9/e,Via Roma,9e,Farmacia Serri S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Corso Martiri della Libertà 36-38,Corso Martiri della Libertà,36-38,Perelli,2021-08-11T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Campo Tures,39032,Via Aurina 21,Via Aurina,21,Aichner,2021-08-06T00:00:00Z
