lat,lon,name,addr,postcode,website,ref:vatin,email
41.5617300,14.9788370,Celenza Valfortore,"Via Carlo Alberto, 2",71035,https://www.comune.celenzavalfortore.fg.it,IT82001650710,protocollo@pec.comune.celenzavalfortore.fg.it
41.5082727,15.3376465,Lucera,Corso Garibaldi 74,71036,https://www.comune.lucera.fg.it,IT82000950715,comune.lucera@anutel.it
41.8446370,15.1659370,Chieuti,"Largo Vi Novembre, 6",71010,https://www.comune.chieuti.fg.it,IT00408000719,segreteria.chieuti@pec.it
41.3724270,15.0961420,Roseto Valfortore,Piazza Sant'Antonio 1,71039,https://www.comune.rosetovalfortore.fg.it,IT82000930717,ufficioragioneria@pec.roseto-valfortore.it
41.5416310,15.1275410,Pietramontecorvino,Piazza Martiri Del Terrorismo,71038,https://www.comune.pietramontecorvino.fg.it,IT80003370717,protocollo@pec.comune.pietramontecorvino.fg.it
41.5938320,15.1105390,Casalvecchio di Puglia,Via Fabio Filzi 66,71030,https://www.comune.casalvecchiodipuglia.fg.it,IT80002620716,protocollo@pec.comune.casalvecchiodipuglia.fg.it
41.9043440,15.8994530,Ischitella,Via Otto Settembre 18,71010,https://www.comune.ischitella.fg.it,IT84000370712,protocollo@pec.comune.ischitella.fg.it
41.3026320,16.0704650,San Ferdinando di Puglia,v. Isonzo 6,76017,https://www.comune.sanferdinandodipuglia.bt.it,IT81000710715,protocollo@pec.comune.sanferdinandodipuglia.bt.it
40.1506240,18.3526300,Bagnolo del Salento,"Via Rosario Mancini,4",73020,https://www.comune.bagnolodelsalento.le.it,IT83000210753,segreteria.bagnolodelsalento@pec.rupar.puglia.it
40.1662250,18.3660300,Cannole,"Via ALDO MORO, 2",73020,https://www.comune.cannole.le.it,IT83001290754,protocollo.comune.cannole@pec.rupar.puglia.it
40.1977814,18.3408272,Carpignano Salentino,"Piazza Duca D'Aosta,1",73020,https://www.comune.carpignanosalentino.le.it,IT83001050752,protocollo.comune.carpignanosalentino@pec.rupar.puglia.it
41.3631280,15.3123470,Troia,"Via Regina Margherita, 80",71029,https://www.comune.troia.fg.it,IT80003490713,protocollo@pec.comune.troia.fg.it
41.8983440,15.9575540,Vico del Gargano,"Piazza San Domenico, 5",71018,https://www.comune.vicodelgargano.fg.it,IT84000190714,vicodelgargano@postecert.it
40.3058260,18.1402230,Lequile,P.zza San Vito,73010,https://www.comune.lequile.le.it,IT80008810758,protocollo@pec.comune.lequile.le.it
40.2374250,18.2552270,Martignano,Via Roma,73020,https://www.comune.martignano.le.it,IT80012330751,protocollo.martignano@pec.rupar.puglia.it
40.1263230,18.2016270,Cutrofiano,Largo Resistenza n.1,73020,https://www.comune.cutrofiano.le.it,IT80009050750,protocollo.comune.cutrofiano@pec.rupar.puglia.it
40.3084260,18.1286230,San Pietro in Lama,Via Milano,73010,https://www.comune.sanpietroinlama.le.it,IT80008630750,comunesanpietroinlama@pec.rupar.puglia.it
40.2681260,18.1842250,San Donato di Lecce,"Via Brodolini, 2",73010,https://www.comune.sandonatodilecce.le.it,IT80010600759,comunesandonatodilecce@pec.rupar.puglia.it
40.0891230,18.3487310,Sanarica,"Via Roma,20",73030,https://www.comune.sanarica.le.it,IT83001650759,protocollo.comune.sanarica@pec.rupar.puglia.it
40.3243980,18.0975900,Monteroni di Lecce,Piazza Falconieri,73047,https://www.comune.monteroni.le.it,IT93003530750,protocollogenerale.comune.monteroni@pec.rupar.puglia.it
40.0542230,18.3791320,Poggiardo,"Via Aldo Moro,1",73037,https://www.comune.poggiardo.le.it,IT83001790753,protocollo.comune.poggiardo@pec.rupar.puglia.it
40.0392220,18.3260310,Nociglia,Via Risorgimento,73020,https://www.comune.nociglia.le.it,IT83000830758,protocollo.comune.nociglia@pec.rupar.puglia.it
40.3351260,17.9652190,Veglie,"Via Parco Delle Rimembranze, 7",73010,https://www.comune.veglie.le.it,IT00462560756,sindaco.comuneveglie@pec.rupar.puglia.it
40.3351996,18.0916278,Arnesano,Via De Amicis,73010,https://www.comune.arnesano.le.it,IT80001410754,protocollo.comunearnesano@pec.rupar.puglia.it
40.0647220,18.3244300,Botrugno,"Piazza Indipendenza,4",73020,https://www.comune.botrugno.le.it,IT83000810750,protocollo.comune.botrugno@pec.rupar.puglia.it
40.1017240,18.4493330,Uggiano la Chiesa,"Piazza Umberto I, 10",73020,https://www.comuneuggianolachiesa.it,IT83001330758,ufficioprotocollo.uggianolachiesa.le@pec.rupar.puglia.it
40.0283220,18.3451310,Surano,"Via Eroi Della Resistenza,20",73030,https://www.comune.surano.le.it,IT83001950753,protocollo@pec.comunesurano.it
40.1023230,18.3381300,Muro Leccese,"Via Indipendenza, n. 85",73036,https://www.comune.muroleccese.le.it,IT83000690756,protocollo.muro@pec.rupar.puglia.it
40.2717007,18.3369115,Melendugno,"Piazza Risorgimento, 24",73026,https://www.comune.melendugno.le.it,IT80010060756,comune.melendugno@legalmail.it
40.3984955,18.0183191,Campi Salentina,"Piazza Liberta,27",73012,https://www.comune.campi-salentina.le.it/,IT80008850754,protocollo.comune.campisalentina@pec.rupar.puglia.it
40.0095220,18.3925320,Diso,"Piazza Municipio,16",73030,https://www.comune.diso.le.it,IT81001510759,segreteria.comune.diso@pec.rupar.puglia.it
39.9835190,18.0868260,Taviano,Piazza Del Popolo 1,73057,https://www.comune.taviano.le.it,IT00414500751,protocollo.comune.taviano@pec.rupar.puglia.it
40.1301258,18.1005072,Seclì,"Via Puccini, 20",73050,https://www.comune.secli.le.it,IT80012690758,protocollo.comune.secli@pec.rupar.puglia.it
40.1488230,18.1952260,Sogliano Cavour,Piazza Diaz,73010,https://www.comunedisoglianocavour.gov.it,IT80009930753,protocollo.comune.soglianocavour@pec.it
40.1877075,18.2073718,Soleto,"Piazza Vittorio Emanuele II, 15",73010,https://www.comune.soleto.le.it,IT80012100758,protocollo.comune.soleto@pec.rupar.puglia.it
40.3785270,18.0492200,Novoli,"Piazza Aldo Moro, 6",73051,https://www.comune.novoli.le.it,IT80001090754,protocollo.comune.novoli@pec.rupar.puglia.it
40.4440240,17.4151050,Monteparano,"Via Trento, N. 34",74020,https://www.comune.monteparano.ta.it,IT80011610732,statocivile.comune.monteparano@pec.rupar.puglia.it
40.0562867,18.3339359,San Cassiano,Piazza Cito,73020,https://www.comune.sancassiano.le.it,IT83000750758,sindaco.comune.sancassiano@pec.rupar.puglia.it
40.0738210,18.0981250,Tuglie,"Piazza Massimo D'Azeglio, 4",73058,https://www.comune.tuglie.le.it,IT82000530756,protocollo.tuglie@pec.rupar.puglia.it
40.3222604,17.5723658,Maruggio,Via Vittorio Emanuele 41,74020,https://www.comune.maruggio.ta.it,IT80008990733,protocollo.comune.maruggio@pec.rupar.puglia.it
40.4018250,17.6335110,Manduria,Via Fra B. Margarito n. 1,74024,https://www.comune.manduria.ta.it,IT80009070733,protocollo.manduria@pec.rupar.puglia.it
40.6295240,16.7996890,Laterza,"Piazza Plebiscito, 2",74014,https://www.comune.laterza.ta.it,IT80009830730,comunelaterza@pec.rupar.puglia.it
40.3839220,17.3349040,Leporano,"Via Motolese, 2",74020,https://www.comuneleporano.it,IT80011070739,protocollo.comuneleporano@postecert.it
40.4658240,17.3976050,Carosino,"Via Roma, 73",74021,https://www.comune.carosino.ta.it,IT80010170738,comune.carosino@legalmail.it
40.4319240,17.4722070,Fragagnano,"Via Cesare Battisti, 1",74022,https://www.comune.fragagnano.ta.it,IT80009890734,protocollo.comune.fragagnano.ta@pec.it
40.5632250,17.2097990,Statte,"Via San Francesco, 5",74010,https://www.comunedistatte.gov.it,IT90031270730,comunestatte@pec.rupar.puglia.it
40.4374240,17.3896050,Roccaforzata,Via Giovanni XXIII 8,74020,https://www.comune.roccaforzata.ta.it/,IT80005170735,protocollo.comuneroccaforzata@pec.rupar.puglia.it
40.3846927,17.3556699,Pulsano,Via Degli Orti n. 37,74026,https://www.comune.pulsano.ta.it,IT80010270736,protocollo@mailcert.comune.pulsano.ta.it
40.8910105,16.7686188,Cassano delle Murge,Piazza A. Moro 10,70020,https://www.comune.cassanodellemurge.ba.it,IT00878940725,comunecassanodellemurge.ba@pec.rupar.puglia.it
40.3540623,17.4993924,Torricella,Piazza Barone Bardoscia,74020,https://www.comune.torricella.ta.it,IT80008970735,info@pec.comune.torricella.ta.it
41.8233236,15.3654175,Poggio Imperiale,"Via Veneto, 2",71010,https://www.comune.poggioimperiale.fg.it,IT00365990712,segreteria.poggioimperiale@pec.it
41.3259364,15.1809980,Celle di San Vito,Via Roma 74,71020,https://www.comune.celledisanvito.fg.it,IT80003290717,protocollo@pec.comune.celledisanvito.fg.it
41.0241649,16.7095806,Binetto,Via Palo 2,70020,https://www.comune.binetto.ba.it,IT80008530729,comunedibinetto@pec.it
