lat,lon,name,addr,postcode,website,ref:vatin,mail1
44.1799513,10.6477331,Fiumalbo,"Via Capitano Coppi, N.2",41022,http://www.comune.fiumalbo.mo.it,IT83000910360,comune@cert.comune.fiumalbo.mo.it
44.2955550,10.5701980,Frassinoro,Piazza Miani 16,41044,http://www.comune.frassinoro.mo.it,IT84002170367,comune.frassinoro@pec.it
44.2459550,10.7176020,Montecreto,Via Roma 24,41025,http://www.comune.montecreto.mo.it,IT83000490363,comune@cert.comune.montecreto.mo.it
44.7297700,11.0384010,Bomporto,Via Per Modena 7,41030,http://www.comune.bomporto.mo.it,IT00662760362,comunedibomporto@cert.comune.bomporto.mo.it
44.7835699,10.8854523,Carpi,Corso Alberto Pio 91,41012,http://www.carpidiem.it,IT00184280360,Comune.Carpi@pec.comune.carpi.mo.it
44.5034615,10.9432999,Castelvetro di Modena,"Piazza Roma, 5",41014,http://www.comune.castelvetro-di-modena.mo.it,IT00285350369,comune.castelvetro@cert.unione.terredicastelli.mo.it
44.7896710,11.0221000,San Prospero,Via Pace 2,41030,http://www.comune.sanprospero.mo.it,IT82002070363,comunesanprospero@cert.comune.sanprospero.mo.it
44.5334130,11.0240826,Spilamberto,"Piazza Caduti Liberta', 3",41057,http://www.comune.spilamberto.mo.it/,IT00185420361,comune.spilamberto@cert.unione.terredicastelli.mo.it
44.3472638,10.9904070,Zocca,Via Del Mercato n. 104,41059,http://https://www.comunezocca.it/,IT00717780365,comunezocca@cert.comune.zocca.mo.it
44.7269690,10.9986000,Bastiglia,Piazza Repubblica 57,41030,http://www.comune.bastiglia.mo.it,IT00686230368,comunedibastiglia@cert.comune.bastiglia.mo.it
44.5106079,9.9896546,Berceto,"Via Marconi, 18",43042,http://www.comune.berceto.pr.it,IT00202280343,protocollo@postacert.comune.berceto.pr.it
44.7211700,11.0984030,Ravarino,Via Roma 173,41017,http://www.comune.ravarino.mo.it,IT00314810367,comunediravarino@cert.comune.ravarino.mo.it
44.3209570,10.6461000,Palagano,"Via 23 Dicembre, 74",41046,http://www.comune.palagano.mo.it,IT00415030360,comune.palagano@pec.it
44.3528570,10.6255990,Montefiorino,"Via Rocca, 1",41045,http://www.comune.montefiorino.mo.it,IT00495090367,comune.montefiorino@pec.it
44.6130570,9.9754800,Solignano,"Piazza Ubaldo Bertoli, 1",43040,http://www.comune.solignano.pr.it,IT00419760343,protocollo@postacert.comune.solignano.pr.it
44.8587650,10.1751800,Fontevivo,piazza Repubblica n. 1,43010,http://www.comune.fontevivo.pr.it,IT00429190341,protocollo@postacert.comune.fontevivo.pr.it
45.0093690,10.2193780,Roccabianca,"Viale Rimembranze, 3",43010,http://www.comune.roccabianca.pr.it,IT00427670344,protocollo@postacert.comune.roccabianca.pr.it
44.4129554,10.1241904,Monchio delle Corti,"Piazza Caduti Di Tutte Le Guerre, 1",43010,http://www.comune.monchio-delle-corti.pr.it,IT00341170348,protocollo@postacert.comune.monchio-delle-corti.pr.it
44.4374371,10.1944619,Palanzano,"Piazza Cardinal Ferrari, 1",43025,http://www.comune.palanzano.pr.it,IT00452160344,protocollo@postacert.comune.palanzano.pr.it
44.7764457,9.6062795,Bettola,Piazza Cristoforo Colombo n. 10,29021,http://www.comune.bettola.pc.it,IT00220720338,protocollo@pec.comune.bettola.pc.it
44.9262660,10.1241780,Soragna,Piazzale Meli Lupi N. 1,43019,http://www.comune.soragna.pr.it,IT00223170341,protocollo@postacert.comune.soragna.pr.it
44.8624600,9.5453660,Travo,"P.zza Trento, 21",29020,http://www.comune.travo.pc.it,IT00230140337,comune.travo@sintranet.legalmail.it
44.9541630,9.7368690,San Giorgio Piacentino,Piazza Torrione 4,29019,http://www.comune.sangiorgiopiacentino.pc.it,IT00229130331,comune.sangiorgio@sintranet.legalmail.it
44.9991650,9.7885690,Pontenure,"Via Moschini, 16",29010,http://www.comune.pontenure.pc.it,IT00211890330,comune.pontenure@sintranet.legalmail.it
44.6232492,9.3326598,Ottone,"Piazza Municipio, 1",29026,http://www.comune.ottone.pc.it,IT00231170333,comune.ottone@sintranet.legalmail.it
44.7227486,9.7028607,Morfasso,"Via Roma, 23",29020,http://www.comune.morfasso.pc.it,IT81000110338,comune.morfasso@sintranet.legalmail.it
44.8327057,9.7298940,Gropparello,"Piazza Roma, 1",29025,http://www.comune.gropparello.pc.it,IT00284400330,comune.gropparello@sintranet.legalmail.it
44.8219940,9.8284819,Lugagnano Val d'Arda,"Via Bersani,27",29018,http://www.comune.lugagnano.pc.it,IT00223910332,comune.lugagnano@sintranet.legalmail.it
45.0131630,9.5689640,Gragnano Trebbiense,"Via Roma, 121",29010,http://www.comune.gragnanotrebbiense.pc.it,IT00230280331,protocollo@pec.comune.gragnanotrebbiense.pc.it
44.7128373,9.5692864,Farini,p.zza G. Marconi 10,29023,http://www.comune-farini-pc.it,IT80000230336,comune.farini@sintranet.legalmail.it
44.9280841,9.9107218,Fiorenzuola d'Arda,Piazzale San Giovanni 2,29017,http://www.comune.fiorenzuola.pc.it,IT00115070336,protocollo@pec.comune.fiorenzuola.pc.it
45.0495995,9.8743749,Caorso,"Piazza Rocca, 1",29012,http://www.comune.caorso.pc.it,IT00229440334,comune.caorso@sintranet.legalmail.it
44.8983640,9.9613740,Alseno,"P.zza XXV Aprile, 1",29010,http://www.comune.alseno.pc.it,IT00215780339,comune.alseno@sintranet.legalmail.it
44.3838426,11.9402173,Cotignola,"Piazza Vittorio Emanuele II, 31",48010,http://www.comune.cotignola.ra.it,IT00148580392,pg.comune.cotignola.ra.it@legalmail.it
44.2770835,11.7245200,Riolo Terme,"Via Aldo Moro, 2",48025,http://www.comune.rioloterme.ra.it,IT00226010395,comune.rioloterme@cert.provincia.ra.it
44.9018700,10.5542870,Boretto,Piazza San Marco 5,42022,http://www.comune.boretto.re.it,IT00439040353,protocolloboretto@legalmail.it
44.8866561,10.8582083,Rolo,"Corso Repubblica, 39",42047,http://www.comune.rolo.re.it,IT00440750354,rolo@cert.provincia.re.it
44.8392700,10.7570930,Campagnola Emilia,Piazza Roma 2,42012,http://www.comune.campagnola-emilia.re.it,IT00449250356,campagnolaemilia@cert.provincia.re.it
44.7633191,10.5951823,Cadelbosco di Sopra,"Piazza Della Liberta', 1",42023,http://www.comune.cadelbosco-di-sopra.re.it/,IT00441540358,cadelbosco@legalmail.it
44.6661530,9.2871640,Zerba,Strada Provinciale n. 72,29020,http://www.comune.zerba.pc.it,IT00231550336,comune.zerba@sintranet.legalmail.it
44.8673610,9.6422680,Ponte dell'Olio,Via Vittorio Veneto 147,29028,http://www.comune.pontedellolio.pc.it,IT00255060337,compdo@actaliscertymail.it
45.0213670,9.9498720,San Pietro in Cerro,"Via Roma, 31/2",29010,http://www.comune.sanpietroincerro.pc.it,IT00222560336,comune.sanpietroincerro@legalmail.it
45.0014620,9.4015600,Ziano Piacentino,"Via Roma, 167",29010,http://www.comune.ziano.pc.it,IT00216920330,elettorale@pec.comune.ziano.pc.it
44.4188782,11.9082311,Lugo,Piazza Dei Martiri 1,48022,http://www.comune.lugo.ra.it,IT82002550398,pg.comune.lugo.ra.it@cert.legalmail.it
44.2855555,11.8832055,Faenza,"Piazza Del Popolo, 31",48018,http://www.comune.faenza.ra.it,IT00357850395,comune.faenza@cert.provincia.ra.it
44.3891687,11.8264514,Bagnara di Romagna,"Piazza Guglielmo Marconi, 2",48010,http://www.comune.bagnaradiromagna.ra.it,IT00218780393,pg.comune.bagnara.ra.it@legalmail.it
44.4421700,11.8601240,Sant'Agata sul Santerno,"Piazza Garibaldi, 5",48020,http://www.comune.santagatasulsanterno.ra.it,IT00349960393,pg.comune.santagata.ra.it@legalmail.it
44.3603680,11.8445250,Solarolo,"Piazza Gonzaga, 1",48027,http://www.comune.solarolo.ra.it,IT00218770394,comune.solarolo@cert.provincia.ra.it
44.9050126,10.6302265,Gualtieri,"Piazza Bentivoglio, 26",42044,http://www.comune.gualtieri.re.it,IT00440630358,comune.gualtieri@postecert.it
44.8108626,10.5632954,Castelnovo di Sotto,Piazza 4 Novembre 1,42024,http://www.comune.castelnovo-di-sotto.re.it,IT00453840357,info@pec.comune.castelnovo-di-sotto.re.it
44.8720906,10.8100618,Fabbrico,"Via Roma, 35",42042,http://www.comune.fabbrico.re.it,IT00440730356,fabbrico@cert.provincia.re.it
44.9185339,10.8042114,Reggiolo,"Piazza Martiri 1,2,3",42046,http://www.comune.reggiolo.re.it,IT00440760353,comunereggiolo@postecert.it
44.6258624,10.4222874,San Polo d'Enza,"Piazza IV Novembre, 1",42020,http://www.comune.sanpolodenza.re.it,IT00445450356,sanpolodenza@cert.provincia.re.it
44.6201821,10.6019259,Albinea,"Piazza Cavicchioni, 8",42020,http://www.comune.albinea.re.it,IT00441130358,albinea@cert.provincia.re.it
43.8726846,12.6685074,Saludecio,Piazza Beato Amato N.1,47835,http://www.comunesaludecio.it,IT82006930406,comune.saludecio@legalmail.it
43.9651860,12.6023740,Coriano,"Piazza Mazzini, 15",47853,http://www.comune.coriano.rn.it,IT00616520409,comune.coriano@legalmail.it
43.8557055,12.6713923,Mondaino,"Piazza Maggiore, 1 -",47836,http://www.mondaino.com,IT00664480407,comune.mondaino@legalmail.it
43.9322054,12.6256931,San Clemente,Piazza Mazzini 12,47832,http://www.sanclemente.it,IT82009450402,comune.sanclemente@legalmail.it
43.9386683,12.7124941,San Giovanni in Marignano,"Via Roma, 62",47842,http://www.comune.san-giovanni-in-marignano.rn.it,IT82005910409,comune.sangiovanniinmarignano@legalmail.it
43.8739600,12.3111440,Maiolo,"Via Capoluogo, 2 Maiolo (rn)",47862,http://www.comune.maiolo.rn.it,IT00364720417,protocollo@pec.comunemaiolo.it
43.9049899,12.2858982,Talamello,"Piazza Garibaldi, 2",47867,http://www.comune.talamello.rn.it,IT00364280412,comune.talamello.rn@pec.it
43.8969610,12.3436440,San Leo,Piazza Dante Alighieri N.1,47865,http://www.comune.san-leo.rn.it,IT00315680413,comune.san-leo@pec.it
44.8372737,11.6186451,Ferrara,"p. Municipale, 2",44120,http://www.comune.fe.it,IT00297110389,comune.ferrara@cert.comune.fe.it
44.9201605,10.2295580,San Secondo Parmense,Piazza Mazzini 10,43017,http://www.comune.san-secondo-parmense.pr.it,IT00231310343,protocollo@postacert.comune.san-secondo-parmense.pr.it
43.9567436,12.1957664,Mercato Saraceno,"Piazza Mazzini, 50",47025,http://www.comune.mercatosaraceno.fc.it,IT00738210400,mercatosaraceno@pec.unionevallesavio.it
44.2221401,11.7722262,Brisighella,Via Naldi 2,48013,http://www.comune.brisighella.ra.it/,IT00202300398,comune.brisighella@cert.provincia.ra.it
44.6992584,11.8040780,Portomaggiore,piazza Umberto I n. 5,44015,http://www.comune.portomaggiore.fe.it,IT00292080389,comune.portomaggiore@legalmail.it
44.2661566,11.3255341,Loiano,Via Roma 55,40050,http://www.loiano.eu,IT80008290373,comune.loiano@cert.provincia.bo.it
44.9102508,9.5965212,Rivergaro,"Via San Rocco, 24",29029,http://www.comune.rivergaro.pc.it,IT00271960338,comune.rivergaro@sintranet.legalmail.it
43.7911505,12.1551264,Casteldelci,Piazza San Nicolo' N.2,47861,http://www.comune.casteldelci.rn.it,IT80008970412,protocollo.comune.casteldelci@pec.it
43.9756646,11.7774968,Premilcuore,Piazza Dei Caduti 14,47010,http://www.comune.premilcuore.fc.it,IT80002530402,comune.premilcuore@cert.provincia.fc.it
44.1425053,11.1665077,Castiglione dei Pepoli,"Piazza Marconi, 1",40035,http://www.comune.castiglionedeipepoli.bo.it,IT80014510376,comune.castiglionedeipepoli@cert.provincia.bo.it
44.0810425,11.7442078,Tredozio,"Via Dei Martiri , 1",47019,http://www.comune.tredozio.fc.it,IT00695070409,tredozio@cert.provincia.fc.it
