ref:ISIL,ref:SBN,name,addr,postcode,city,latitudine,longitudine,telefono,fax,mail1,website
IT-BO0302,UBOSV,Biblioteca comunale Scandellara - Mirella Bartolotti,Via Scandellara 50,40138,Bologna,44.4968366,11.3833079,+39 0512194301,+39 0512194301,bibliotecascandellara@comune.bologna.it,http://www.bibliotechebologna.it//luoghi/52056/id/55862
IT-BO0304,UBOGA,Biblioteca comunale dell'Archiginnasio,piazza Galvani 1,40124,Bologna,44.4917372,11.3432431,+39 051276811,+39 051261160,archiginnasio@comune.bologna.it,http://www.archiginnasio.it
IT-BO0527,UBONR,Biblioteca comunale Silvio Mucini,via Padre Marella 19,40065,Pianoro,44.388579,11.3441785,+39 051774654,+39 0516517238,biblioteca.pianoro@comune.pianoro.bo.it,http://www.comune.pianoro.bo.it/servizi/cultura/-Biblioteche_Comunali/pagina22.html
IT-BO0528,UBONB,"Biblioteca comunale ""Giorgio Celli"" Sezione Ragazzi","via Mario Musolesi, 4a",40036,Monzuno,44.3179302,11.2585778,+39 0516778405,,bibliovado@comune.monzuno.bo.it,http://www.comune.monzuno.bologna.it/Aree-tematiche/biblioteche-comunali/biblioteca-giorgio-celli-di-vado
IT-BO0529,UBOLX,Biblioteca comunale,"via Roma, 51",40042,Lizzano in Belvedere,44.1605015,10.8938735,+39 053451822,,alessandro.riccioni@comune.lizzano.bo.it,http://www.comune.lizzano.bo.it/index.php?option=com_content&view=article&id=26&Itemid=128
IT-BO0530,UBOED,"Biblioteca comunale ""Clemente Mezzini""",Largo Giovanni Pierluigi da Palestrina 1,40063,Monghidoro,44.2194035706294,11.3142724972229,+39 0516555639,+39 0516555520,biblioteca@comune.monghidoro.bo.it,https://comune.monghidoro.bo.it/
IT-BO0533,UBOCQ,Biblioteca comunale Casa Bondi,"via XXI Ottobre 1944, 7/2",40055,Castenaso,44.5109263,11.4696687,+39 051788025,+39 051789612,biblio@comune.castenaso.bo.it,http://www.comune.castenaso.bo.it/aree-tematiche/cultura/biblioteca
IT-BO0560,UBOAP,Biblioteca comunale,Via Centese 48,40050,Argelato,44.6421802,11.3488875,+39 0516634623,+39 0516634627,biblioteca.ar@renogalliera.it,https://www.comune.argelato.bo.it/servizi/Menu/dinamica.aspx?idSezione=1009&idArea=6597&idCat=1149&ID=1204&TipoElemento=Pagina
IT-BO0611,UBOEZ,Biblioteca comunale di San Pietro in Casale - Sezione distaccata Ragazzi,piazza Martiri della Liberazione 12,40018,San Pietro in Casale,44.7003192,11.404321,+39 0516669504,+39 051810658,biblioteca.ragazzi.sp@renogalliera.it,http://www.comune.san-pietro-in-casale.bo.it/biblio_ragazzi.htm
IT-BO0625,UBOGI,"Biblioteca comunale ""Giulio Cesare Croce"" - Sezione ragazzi","parco Pettazzoni, 2",40017,San Giovanni in Persiceto,44.637535,11.188637,+39 0516812971,+39 051.6812976,biblioragazzi@comunepersiceto.it,http://www.cittametropolitana.bo.it/cultura/Guida_Biblioteche_2/Biblioteca_Comunale_Giulio_Cesare_Croce_Sezione_Ragazzi/Ragazzi/Biblioteca_Comunale_Giulio_Cesare_Croce_Sezione_Ragazzi
IT-FC0004,RAVBT,"Biblioteca comunale ""Aldo Spallicci""",via Mainardi 2,47032,Bertinoro,44.1497763,12.1327065,+39 0543469215,+39 0543444486,biblioteca@comune.bertinoro.fc.it,
IT-FC0016,,Biblioteca comunale Antonio Raineri Biscia,Via Carducci 3,47013,Dovadola,44.1204558,11.8862714,+39 0543934703,,,
IT-FC0018,RAVFO,Biblioteca comunale Aurelio Saffi e Fondo Piancastelli,Corso della Repubblica 78,47121,Forlì,44.22021489999999,12.0449234,+39 0543712610,+39 0543712616,biblioteca-saffi@comune.forli.fc.it,http://www.cultura.comune.forli.fc.it/servizi/menu/dinamica.aspx?idArea=16315&idCat=17158&ID=17189&TipoElemento=Categoria
IT-FC0025,RAVFP,Biblioteca comunale Pellegrino Artusi,"via Andrea Costa, 27",47034,Forlimpopoli,44.1884369,12.1263368,+39 0543749271,+39 0543743247,biblioteca@comune.forlimpopoli.fc.it,http://www.casartusi.it/it/biblioteca/
IT-FC0028,RAVGA,Biblioteca comunale,"corso Mazzini, 73",47035,Gambettola,44.11780144649233,12.338965203704815,+39 054745338,+39 054745305,biblioteca@comune.gambettola.fc.it,http://www.comune.gambettola.fc.it/servizi/Menu/dinamica.aspx?idSezione=616&idArea=19003&idCat=20546&ID=21253&TipoElemento=categoria
IT-FC0029,RAVGT,Biblioteca comunale Giuseppe Ceccarelli,via Roma 13,47043,Gatteo,44.1072557,12.385337,+39 0541932377,+39 0541812505,biblioteca@comune.gatteo.fc.it,
IT-FC0033,RAVME,Biblioteca comunale Francesco Torricelli,"via Mazzini, 18",47014,Meldola,44.1277082,12.0629426,+39 0543499456,+39 0543490862,biblioteca@comune.meldola.fc.it,http://www.comune.meldola.fc.it/servizi/Menu/dinamica.aspx?idSezione=616&idArea=19136&idCat=19222&ID=24709&TipoElemento=categoria
IT-FC0035,RAVMS,Biblioteca comunale Antonio Veggiani,piazzetta del Savio 4,47025,Mercato Saraceno,43.9562437,12.1967956,+39 054790584,+39 054790141,biblioteca@unionevallesavio.it,
IT-FC0038,RAVMD,Biblioteca comunale don Giovanni Verità e della Accademia degli Incamminati,Piazza G. Matteotti 5,47015,Modigliana,44.1215966,11.886851,+39 0546941019,+39 0546949514,biblioteca@comune.modigliana.fc.it,http://www.comune.modigliana.fc.it
IT-FC0044,,Biblioteca comunale,"piazza Maggiore, 3",47020,Montiano,44.08358146345414,12.305119149212652,+39 054751032,+39 054751160,scuola-cultura@comune.montiano.fc.it,http://www.comune.montiano.fc.it/servizi-culturali-sport-e-turismo
IT-FC0049,,Biblioteca comunale,"via Roma, 34",47010,Premilcuore,43.979237422292215,11.781062419049091,+39 0543956945,+39 0543956557,cultura@comune.galeata.fc.it,http://www.comune.premilcuore.fc.it
IT-FC0055,,Biblioteca comunale,"via Giuseppe Mazzini, 19",47017,Rocca San Casciano,44.0612927,11.8429544,+39 0543960124,+39 0543951336,segreteria@comune.roccasancasciano.fc.it,
IT-FC0061,RAVMP,Biblioteca comunale Giovanni Pascoli,piazza G. Mazzini 7,47030,San Mauro Pascoli,44.1067863,12.4155126,+39 0541933656,+39 0541933656,biblioteca@comune.sanmauropascoli.fc.it,
IT-FC0064,RAVSF,Biblioteca comunale,"piazza Giacomo Matteotti, 4",47018,Santa Sofia,43.9467773,11.9075152,+39 0543974551,+39 0543970345,ufficio.cultura@comune.santa-sofia.fc.it,http://www.comune.santa-sofia.fc.it
IT-FC0066,,Biblioteca comunale Tito Maccio Plauto,via Roma 24,47027,Sarsina,43.9185667,12.1416849,+39 0547698164,+39 054795384,info@comune.sarsina.fc.it,http://www.comune.sarsina.fc.it/servizi/numeriutili.htm#biblioteche
IT-FC0068,RAVSL,Biblioteca comunale Agostino Venanzio Reali,piazzetta G. Garibaldi 19,47030,Sogliano al Rubicone,43.9556902,12.1949371,+39 0541817350,+39 0541948540,biblioteca@comune.sogliano.fc.it,http://www.comune.sogliano.fc.it/ilpaese/Attivita/Biblioteca/Biblioteca.htm
IT-FC0069,RAVTZ,Biblioteca comunale,via XX Settembre 32,47019,Tredozio,44.077777,11.742341,+39 0546943676,+39 0546943921,milena.rossi@comune.tredozio.fc.it,
IT-FC0071,RAVBG,Biblioteca comunale di Palazzo del Capitano,via Fiorentina 38,47021,Bagno di Romagna,43.8332207,11.9585698,+39 0543911037,+39 0543911026,biblioteca@bagnodiromagnaturismo.it,
IT-FC0074,RAVMM,Biblioteca comunale Marino Moretti,"piazza Ciceruacchio, 21",47042,Cesenatico,44.2014061,12.3976906,+39 054779264,+39 0547674094,biblioteca@cesenatico.it,http://biblioteca.comune.cesenatico.fc.it/servizi/notizie/notizie_homepage.aspx
IT-FC0082,RAVGL,Biblioteca comunale,"via Cenno Cenni, 10",47010,Galeata,43.9963518,11.9101194,+39 0543975047,+39 0543975047,bibliogaleata@libero.it,http://www.bibliotecheromagna.it/main/index.php?id_pag=12&id_loc=61&id_bib=140
IT-FC0089,,Biblioteca comunale Aurelio Saffi. Sezione moderna A. Schiavi,corso della Repubblica 78,47121,Forlì,44.2203552,12.0447505,+39 0543712615,+39 0543712616,biblioteca-saffi@comune.forli.fc.it,http://www.cultura.comune.forli.fc.it/servizi/menu/dinamica.aspx?idArea=16315&amp
IT-FC0097,RAVPL,"Biblioteca comunale ""Plebino Battanini"" - Sezione ""Domenica Ancarani-Tronconi""",viale Marconi 115,47011,Castrocaro Terme e Terra del Sole,44.178591,11.9535197,+39 0543766394,+39 0543768445,biblocastrocaro@libero.it,
IT-FC0105,RAVRF,Biblioteca comunale Fratelli Carnacini,via R. Comandini 12,47020,Roncofreddo,44.0402989,12.3141949,+39 0541949355,+39 0541949444,servizisociali@comune.roncofreddo.fc.it,
IT-FC0113,,Biblioteca comunale,"piazza Guglielmo Marconi, 3",47010,Portico e San Benedetto,44.0258598,11.7809771,+39 0543967047,,serena.verdi@comune.portico-e-san-benedetto.fc.it,
IT-FC0114,RAVHP,Biblioteca comunale per ragazzi Paul Percy Harris,"viale Fratelli Spazzoli, 13 A",47121,Forlì,44.2141758,12.0464574,+39 054326039,,biblioteca.p.harris@comune.forli.fc.it,http://www.comune.forli.fc.it/servizi/menu/dinamica.aspx?idArea=190170&idCat=190181&ID=86301
IT-FC0136,RAVPB,"Biblioteca comunale ""Palazzo Vendemini""","corso Gino Vendemini, 67",47039,Savignano sul Rubicone,44.0925705,12.3966759,+39 0541944017,+39 0541942194,biblioteca@comune.savignano-sul-rubicone.fc.it,http://www.comune.savignano-sul-rubicone.fc.it/servizi/Menu/dinamica.aspx?idSezione=12028&idArea=13691&idCat=515&ID=1331&TipoElemento=categoria
IT-FC0142,,Biblioteca comunale,via CADUTI D'UNGHERIA 11,47028,Verghereto,43.7955216,12.0060801,+39 0543902313,+39 0543902377,segreteria@comune.verghereto.fc.it,
IT-FE0001,UFEAG,Biblioteca comunale Francesco Leopoldo Bertoldi,"via Cappuccini, 4 A",44011,Argenta,44.618158,11.837121,+39 0532330264,+39 0532330271,biblioteca@comune.argenta.fe.it,http://www.comune.argenta.fe.it/ufficio/1/1/33/bibliotecamediateca-flbertoldi
IT-FE0002,UFEBB,Biblioteca comunale,"Via Piave, 69",44033,Riva del Po,44.9786338513412,11.9819892447357,+39 0532 1673045,,bibliotecaberra@comune.rivadelpo.fe.it,http://www.comuneberra.gov.it/canali-tematici/centro-di-documentazione-culturale-biblioteca/scheda-illustrativa-del-centro-di-documentazione-culturale-biblioteca-comunale
IT-FE0006,UFEBC,"Biblioteca comunale ""Ludovico Antonio Muratori""",via Agatopisto 5,44022,Comacchio,44.6927267,12.1813535,+39 0533315882,+39 0533315814,biblio@comune.comacchio.fe.it,http://195.62.166.245/comacchio/common/AmvSezione.do?MVPD=0&amp
IT-FE0007,UFECP,Biblioteca comunale di Copparo,"via Roma, 20 B",44034,Copparo,44.8956926,11.8274234,+39 0532864633,+39 0532864660,biblioteca@comune.copparo.fe.it,http://biblioteca.comune.copparo.fe.it/
IT-FE0017,UFEAR,Biblioteca comunale Ariostea,via delle Scienze 17,44121,Ferrara,44.8330257,11.621657,+39 0532418200,+39 0532204296,info.ariostea@comune.fe.it,http://www.artecultura.fe.it/index.phtml?id=271
IT-FE0037,UFEFR,Biblioteca comunale,"viale Roberto Mari, 4",44035,Tresignana,44.841977297515434,11.859409957672122,+39 0533 59012,+39 053359031,biblioteca.formignana@comune.tresignana.fe.it,
IT-FE0038,UFEGO,Biblioteca comunale,"via Cesare Battisti, 74",44020,Goro,44.8537353,12.3009484,+39 0533996395,+39 0533792056,biblioteca@comune.goro.fe.it,http://www.comune.goro.fe.it/c038025/zf/index.php/uffici/index/detail/categoria/80/id/12
IT-FE0039,UFEIO,Biblioteca comunale,corso Matteotti 20,44037,Jolanda di Savoia,44.8865088,11.9732774,+39 0532835757,+39 0532835576,biblioteca@comune.jolandadisavoia.fe.it,http://www.comune.jolandadisavoia.fe.it
IT-FE0040,UFELA,Biblioteca comunale,via Roma 19/a,44023,Lagosanto,44.7656088,12.1401063,+39 0533948529,+39 0533900057,biblioteca@comune.lagosanto.fe.it,http://www.comune.lagosanto.fe.it/lagosanto/common/AmvSezione.do?MVPD=0&amp
IT-FE0041,UFEMT,Biblioteca comunale,"viale Adriatico, 158 A",44020,Masi Torello,44.79412,11.797035,+39 05328191134,+39 0532816677,,http://www.comune.masitorello.fe.it/c038012/zf/index.php/uffici/index/detail/id/9
