ref:ISIL,ref:SBN,name,addr,postcode,city,latitudine,longitudine,telefono,fax,mail1,website
IT-TS0250,TSASD,Biblioteca comunale,Bagnoli della Rosandra 507/A,34018,San Dorligo della Valle,45.609053662491434,13.846088775463121,+39 040227008,,biblioteca-knjiznica@sandorligo-dolina.it,http://www.comune.san-dorligo-della-valle.ts.it
IT-TS0255,TSAU1,Biblioteca comunale Pier Antonio Quarantotti Gambini,Via delle Lodole 6,34137,Trieste,45.6441911,13.7812801,+39 0400649556,+39 0400649557,bibliocom@comune.trieste.it,http://www.bibliotecaquarantottigambini.it
IT-TS0268,TSAU2,Biblioteca comunale Stelio Mattioni,via PETRACCO 10,34148,Trieste,45.6164974,13.8230741,+39 0406758183,+39 040383303,miniussis@comune.trieste.it,http://www.retecivica.trieste.it/triestecultura/new/bibliotecamattioni/default.asp
IT-UD0002,,Biblioteca comunale,"Piazza Marnico, presso Municipio",33011,Artegna,46.24141,13.154945,+39 0432987340,,,
IT-UD0003,,Biblioteca comunale,"piazza San Giacomo, 1",33050,Bagnaria Arsa,45.8656425,13.2891485,+39 0432996252,+39 0432996252,biblioteca@comune.bagnariaarsa.ud.it,
IT-UD0005,,Biblioteca comunale Luciano Puntel,"via Regina Pacis, 6",33050,Bicinicco,45.9346975,13.2524179,+39 0432990774,+39 0432990768,bibliotecabicinicco@libero.it,http://www.comune.bicinicco.ud.it/index.php?id=13047
IT-UD0006,FVG10,Biblioteca comunale 6 di mai dal 76,"via Santo Stefano, 92a",33030,Buja,46.2071265,13.1249988,+39 0432960963,+39 0432960963,biblioteca@comune.buja.ud.it,http://www.comune.buja.ud.it/index.php?id=22666
IT-UD0007,,Biblioteca comunale,"via Divisione Julia, 39",33042,Buttrio,46.0121467,13.3306273,+39 0432683105,+39 0432683105,biblioteca@comune.buttrio.ud.it,http://www.sbcividalese.it/easyne2/biblioteche/biblioteca-comunale-di-buttrio/
IT-UD0008,FVG35,Biblioteca comunale,piazza San Valentino 12,33030,Camino al Tagliamento,45.9276666,12.9447331,+390432919620,+39 0432919605,biblioteca@comune.caminoaltagliamento.ud.it,http://www.comune.caminoaltagliamento.ud.it/index.php?id=2093&amp
IT-UD0009,,Biblioteca comunale,Piazza Indipendenza 2,33040,Campolongo Tapogliano,45.8641658,13.3943154,+39 0431973195,,biblio.campolongo@libero.it,
IT-UD0010,,Biblioteca comunale,via Marano 1,33050,Carlino,45.8012566,13.1883978,+390431687831,+39 0431687824,biblioteca@comune.carlino.ud.it,
IT-UD0011,FVG30,BIBLIOTECA COMUNALE BINDO CHIURLO,via DIVISIONE JULIA 10,33010,Cassacco,46.1757863369151,13.1893284214264,+39 0432854113,,cassacco.biblioteca@libero.it,
IT-UD0012,FVG36,Biblioteca comunale Carlo Sgorlon,via DANTE 19,33050,Castions di Strada,45.9085663130757,13.1863042411392,+39 0432827601,+39 0432768084,biblioteca@comune.castionsdistrada.ud.it,http://www.sbmediofriuli.it
IT-UD0018,FVG52,Biblioteca comunale,Via Ippolito Nievo 19,33010,Colloredo di Monte Albano,46.163593,13.136508999999933,+39 0432 889864,,biblioteca@comune.colloredodimontealbano.ud.it,http://www.comune.colloredodimontealbano.ud.it/index.php?id=32581&L=zoiyvjtijxech
IT-UD0021,,Biblioteca comunale,"piazza Divisione Julia, 1",33040,Corno di Rosazzo,45.9966701,13.4412753,+39 0432753391,,bibliotecacorno@libero.it,http://www.comune.corno-di-rosazzo.ud.it/index.php?id=7962
IT-UD0022,FRIEZ,Biblioteca comunale,via nazionale Nazionale 18,33020,Enemonzo,46.4093313,12.8868169,+390433750509,,biblioteca.enemonzo@gmail.com,
IT-UD0023,FRIFG,Biblioteca comunale,piazza UNITÀ D'ITALIA 3,33034,Fagagna,46.1133414,13.0852649,+39 0432812147,+39 0432810065,biblioteca@comune.fagagna.ud.it,http://www.leggereinfriuli.it
IT-UD0024,,Biblioteca comunale Anna Maria Bonetti,"piazzale Falcone e Borsellino, 3",33050,Fiumicello Villa Vicentina,45.7931237,13.4083925,+39 0431969440,+39 0431969261,biblioteca.fiumicello@comune.fiumicellovillavicentina.ud.it,http://www.inbiblio.it
IT-UD0025,FVG56,Biblioteca comunale,"Via Val, 41",33030,Forgaria nel Friuli,46.2218463,12.9717017,+39 0427808922,+39 0427808136,biblioteca.forgaria@libero.it,http://www.sbhu.it/forgaria-nel-friuli
IT-UD0028,,Biblioteca comunale,"frazione Clodig, 11",33040,Grimacco,46.15608,13.59288,+39 0432725006,,anagrafe@com-grimacco.regione.fvg.it,http://www.sbcividalese.it/easyne2/biblioteche/biblioteca-comunale-di-grimacco/
IT-UD0030,FVG38,Biblioteca comunale E. Bellavitis,via Nicolò Fabris 4,33030,Lestizza,45.9550947661865,13.1426525023468,+39 3385452388,,biblioteca@comune.lestizza.ud.it,http://www.comune.lestizza.ud.it/index.php?id=15322
IT-UD0034,FVG46,Biblioteca comunale,"Via 6 Maggio 1976, 4",33010,Magnano in Riviera,46.23114,13.1765399,+39 0432794984,+39 0432792370,biblioteca@comune.magnanoinriviera.ud.it,http://www.comune.magnanoinriviera.ud.it
IT-UD0035,FRIMJ,Biblioteca comunale,"via Zorutti, 6",33030,Majano,46.1863643,13.0678558,+39 0432959078,+39 0432948183,biblioteca@comune.majano.ud.it,http://www.comune.majano.ud.it/index.php?id=42364
IT-UD0036,FVG11,Biblioteca comunale Caterina Percoto,"via Natisone, 34",33044,Manzano,45.9898871,13.3850949,+39 0432938368,+39 0432754617,biblioteca@comune.manzano.ud.it,http://www.sbhu.it/manzano/
IT-UD0039,,Biblioteca comunale,via Chiarandis 1,33040,Moimacco,46.0917555,13.3811842,+390432722308,,biblioteca.moimacco@alice.it,http://www.comune.moimacco.ud.it
IT-UD0041,,Biblioteca comunale Alviero Negro,piazza S. MARCO 3,33055,Muzzana del Turgnano,45.8154981,13.1242211,+39 0431698096,+39 0431697869,biblioteca@comune.muzzanadelturgnano.ud.it,http://www.infoteca.it
IT-UD0043,,Biblioteca comunale,Piazza Vittorio Veneto 6/a,33010,Osoppo,46.2582202,13.0787992,+39 0432975627,+39 0432975718,biblioteca@comune.osoppo.ud.it,http://www.comune.osoppo.ud.it/index.php?id=22075&L=-1%27%27%20and%20char%28124%29%2Buser%2Bchar%28124%29%3D0%20and%20%27%27%3D%27
IT-UD0046,,Biblioteca comunale Italo Guidetti,"via Caduti 2 Maggio, 195",33025,Ovaro,46.4842959,12.8650541,+39 043367202,+39 043367636,biblioteca@comunediovaro.191.it,http://www.comune.ovaro.ud.it/index.php?id=2816
IT-UD0047,FVG25,Biblioteca comunale,via Castellerio 38,33010,Pagnacco,46.1185982,13.1898363,+39 0432650232,,biblioteca.pagnacco@libero.it,
IT-UD0049,,Biblioteca comunale,piazza DELLA PIEVE 1,33056,Palazzolo dello Stella,45.8066739,13.0791506,+39 0431588421,,biblioteca@comune.palazzolodellostella.ud.it,
IT-UD0051,,Biblioteca comunale,via LOREDAN 1,33057,Palmanova,45.915008,13.343445,+39 0432929566,+39 0432923346,biblioteca.palmanova@virgilio.it,http://www.infoteca.it/palmanova
IT-UD0059,,Biblioteca comunale,"Via Corridoni, 1",33050,Porpetto,45.855409,13.214642,+39 043160627,+39 043160901,biblioteca@comune.porpetto.ud.it,https://sac3.halleysac.it/c030077/zf/index.php/uffici/index/detail/categoria/97/id/32
IT-UD0061,FVG26,Biblioteca comunale di Povoletto,largo Cicuttini 1,33040,Povoletto,46.1605444,13.2153655,+39 0432664082,+39 0432664094,biblioteca@comune.povoletto.ud.it,
IT-UD0062,FVG15,Biblioteca comunale,"via del Mercato, 3",33050,Pozzuolo del Friuli,45.9835113,13.1971223,+39 0432669016,+39 0432669343,info.biblio@com-pozzuolo-del-friuli.regione.fvg.it,http://pozzuolodelfriuli.insiel.it/index.php?id=39453
IT-UD0063,,Biblioteca comunale,"Via Fiore dei Liberi, 8",33040,Premariacco,46.0598539,13.3946745000001,+39 0432729405,+39 0432729072,biblioteca@comune.premariacco.ud.it,http://www.comune.premariacco.ud.it/index.php?id=13871
IT-UD0067,FRIRG,Biblioteca comunale Luca Petris,via ROMA 23,33030,Ragogna,46.180646,12.9747354,+39 0432955226,,,http://www.comune.ragogna.ud.it
IT-UD0068,FVG31,Biblioteca comunale,via BATTAGLIONE JULIO 7,33010,Reana del Rojale,46.1515702311614,13.2434043931846,+39 0432856250,+39 0432857377,biblioteca.comunale@comune.reanadelrojale.ud.it,http://www.comune.reanadelrojale.ud.it/index.php?id=19914
IT-UD0070,,Biblioteca comunale Giovanni Missio,"via Roma, 46",33047,Remanzacco,46.0853471,13.322681,+39 0432668750,+39 0432668352,biblioteca@comune.remanzacco.ud.it,
IT-UD0071,FVG51,Biblioteca comunale,"Via Nazionale 40, c/o Centro Civico Polifunzionale di Rodeano Basso",33030,Rive d'Arcano,46.11278257674677,13.011549963229303,,,biblioteca@comune.rivedarcano.ud.it,http://www.comune.rivedarcano.ud.it/
IT-UD0072,,Biblioteca comunale,corso Italia 64,33050,Ronchis,45.8060703,12.9961686,,,,
IT-UD0073,,Biblioteca comunale L. Chiozza,piazza della Libertà 10,33050,Ruda,45.837817,13.40061,+39 0431973195,+39 0431973254,biblioteca@com-ruda.regione.fvg.it,
IT-UD0078,,Biblioteca comunale,Piazza Plebiscito,33058,San Giorgio di Nogaro,45.831495,13.212296000000038,+39 0431620281,+39 0431622326,info.biblioteca@comune.sangiorgiodinogaro.ud.it,https://www.villadorasgn.it/
IT-UD0082,,Biblioteca comunale,"via Alpe Adria, 56",33100,San Pietro al Natisone,46.1264597,13.4852828,+39 0432717004,,bibliotecaspn@gmail.com,http://www.comune.sanpietroalnatisone.ud.it/portale/cms/Uffici/Biblioteca/
IT-UD0083,,Biblioteca comunale,"via Roma, 48",33050,San Vito al Torre,45.8950561,13.3692594,+39 0432997602,,biblio.svitoaltorre@libero.it,
IT-UD0084,FVG18,Biblioteca comunale,via Simonetti 2,33050,Santa Maria la Longa,45.9329919,13.2877579,+39 0432995651,+39 0432995005,biblioteca@com-santa-maria-la-longa.regione.fvg.it,
IT-UD0087,FRISV,Biblioteca comunale Romualdo Fachin,"via Nazionale, 37",33020,Socchieve,46.39747,12.84979,+39 0433819902,,bibliosocc@libero.it,http://www.comune.socchieve.ud.it/index.php?id=4212
IT-UD0091,,Biblioteca comunale,via Gorizia 2,33040,Campolongo Tapogliano,45.8777221,13.3981035,+390431973097,,biblio.tapo@libero.it,
IT-UD0094,,Biblioteca comunale - Centro socio-culturale,"Via Giovanni Paolo II, 1",33018,Tarvisio,46.5053986,13.579297600000018,,,biblioteca@com-tarvisio.regione.fvg.it,https://www.comuneditarvisio.com/
IT-UD0095,FVG20,Biblioteca comunale,"via Giuseppe Mazzini, 9",33010,Tavagnacco,46.1009456,13.2126766,+39 0432577395,,biblioteca@comune.tavagnacco.ud.it,http://www.comune.tavagnacco.ud.it/Amministrazione/Luoghi/Biblioteca-Comunale
IT-UD0097,,Biblioteca comunale,piazza S. Michele 15,33010,Trasaghis,46.2865266,13.0924272,+39 0432984079,+39 0432984440,biblioteca.trasaghis@email.it,
IT-UD0099,FVG23,Biblioteca comunale di Trevignano Udinese,via ROMA 18,33050,Trivignano Udinese,45.9443888,13.3417407,+39 0432999002,+39 0432 999559,biblioteca@com-trivignano-udinese.regione.fvg.it,http://www.comune.trivignano-udinese.ud.it
IT-UD0128,,Biblioteca comunale Sebastiano Mistruzzi-Freisinger,"via Mistruzzi, 4/1",33010,Venzone,46.3339644,13.1397654,+39 0432985891,,venzone.biblioteca@virgilio.it,http://www.comunedivenzone.it/index.php?id=29954
IT-UD0129,,Biblioteca comunale,"via Duca d'Aosta, 24",33059,Fiumicello Villa Vicentina,45.817452,13.3946383,+39 0431970034,+39 0431970564,biblioteca.villavicentina@comune.fiumicellovillavicentina.ud.it,http://www.comune.fiumicellovillavicentina.ud.it/index.php?id=56498
IT-UD0130,,Biblioteca comunale,via Pietro Gioitti 13,33040,Visco,45.8913966,13.3460149,+390432836070,,biblio.visco@libero.it,
IT-UD0131,,Biblioteca comunale,"via Nazario Sauro, 10",33040,Chiopris-Viscone,45.92461,13.40094,+39 0432991004,+39 0432991210,biblioteca_chiopris@libero.it,http://www.comune.chiopris-viscone.ud.it/index.php?id=18683
IT-UD0132,,Biblioteca comunale Ugo Rossi,via Venzone 8,33010,Bordano,46.3154046,13.1072856,+39 0432988329,,biblioteca.bordano@gmail.com,
IT-UD0133,FRILS,BIBLIOTECA COMUNALE BRUNA LIZZI DE MINICIS,via TREVISO 2,33054,Lignano Sabbiadoro,45.6890507,13.1396995,+39 0431409160,+39 0431722611,biblio@lignano.org,http://www.lignano.org/index.php?id=398&amp
IT-UD0135,,Biblioteca comunale,"via Cavour, 27",33041,Aiello del Friuli,45.870962,13.364878,+39 0431973806,,biblioteca@comune.aiellodelfriuli.ud.it,http://www.comune.aiellodelfriuli.ud.it/index.php?id=20580
IT-UD0139,,Biblioteca comunale,via TRIESTE 33,33052,Cervignano del Friuli,45.8196206,13.3300101,+39 0431388540,+39 0431388910,biblio@com-cervignano-del-friuli.regione.fvg.it,http://www.inbiblio.it
IT-UD0149,,Biblioteca comunale Pre Checo Placereani,"via Curminie, 45",33010,Montenars,46.253813,13.173753,+39 0432970950,,biblioteca@comune.montenaes.ud.it,http://www.comune.montenars.ud.it/index.php?id=2588
IT-UD0153,FRIPZ,Biblioteca comunale,piazza XXI-XXII Luglio,33026,Paluzza,46.529375,13.01603,+390433775143,,anagrafe@com-paluzza.regione.fvg.it,http://www.comune.paluzza.ud.it/
IT-UD0154,FVG14,Biblioteca comunale,piazza JULIA 1,33050,Pavia di Udine,45.9780022,13.2813749,+39 0432646180,+39 0432646119,biblioteca@comune.paviadiudine.ud.it,
IT-UD0156,,Biblioteca comunale,"via 2 Giugno, 22",33050,Terzo d'Aquileia,45.800484,13.3463255,+39 0431371127,+39 0431382808,biblioteca@comune.terzodiaquileia.ud.it,http://www.comune.terzodiaquileia.ud.it/index.php?id=10933
IT-UD0159,,Biblioteca comunale E. Cortolezzis,via Matteotti 15,33020,Treppo Ligosullo,46.5337232,13.0431383,+39 0433777307,+39 0433777331,biblioteca.treppocarnico@virgilio.it,
IT-UD0205,,Biblioteca comunale,"Via Roma, 4",33015,Moggio Udinese,46.408793,13.198343,+39 0433508039,,biblioteca@comune.moggioudinese.ud.it,http://www.comune.moggioudinese.ud.it/index.php?id=2738
IT-UD0208,FVG21,Biblioteca comunale,"via Roma, 3",33010,Treppo Grande,46.1903999,13.157562,+39 0432960147,,biblioteca@comune.treppogrande.ud.it,http://www.comune.treppogrande.ud.it/index.php?id=6076
IT-UD0209,,Biblioteca comunale,via dei Cavalieri Teutonici 25,33050,Precenicco,45.789727,13.0786851,+390431586274,+39 0431586274,biblioteca@comune.precenicco.ud.it,
IT-UD0210,FRITV,Biblioteca comunale,Via Rosalia Vecchiutti 5,33050,Torviscosa,45.822551,13.270644,+39 0431929589,,biblioteca@com-torviscosa.regione.fvg.it,http://www.comune.torviscosa.ud.it/index.php?id=3256&L=0#top
IT-UD0218,,Biblioteca comunale,via Centro Studi 1,33020,Amaro,46.3748754,13.0960855,,,,
IT-UD0219,FRIAZ,Biblioteca comunale,"Piazza Zona Libera 1944, 28",33021,Ampezzo,46.4168634,12.7940655,+39 043380639,,giulia.colle@com-ampezzo.regione.fvg.it,http://www.comune.ampezzo.ud.it
IT-UD0223,FVG45,Biblioteca comunale,Piazza mons. Pelizzo 13,33040,Faedis,46.152513,13.343867,+39 0432728207,,biblioteca@com-faedis.regione.fvg.it,http://www.comune.faedis.ud.it/index.php?id=3725&L=0
IT-UD0224,,Biblioteca comunale,via Nazionale 84,33024,Forni di Sopra,46.4241507,12.5782584,+39 043388056,+39 043388580,,
IT-UD0225,,Biblioteca comunale,via Baselia,33024,Forni di Sotto,46.3936625,12.6701418,,,,
IT-UD0226,FVG16,Biblioteca comunale,via F. RENATI 9,33040,Pradamano,46.0329881,13.3012271,+39 0432671102,+39 0432671102,biblioteca.pradamano@virgilio.it,http://www.comune.pradamano.ud.it/biblioteca.html
IT-UD0227,,Biblioteca comunale,frazione PIERIA 95,33020,Prato Carnico,46.5213873,12.8079557,+39 043369123,+39 043369001,biblio.pratocarnico@gmail.com,
IT-UD0229,,Biblioteca comunale,via Canonica Sauris di Sotto,33020,Sauris,46.4680531,12.6855485,+39 043386245,,bibliosauris@gmail.com,http://www.facebook.com/bibliosauris
IT-UD0230,,Biblioteca comunale,via Principale 16,33040,Torreano,46.1301949,13.4324686,+390432712964,+39 0432712345,biblioteca@comune.torreano.ud.it,
IT-UD0231,,Biblioteca comunale Giso Fior,via Garibaldi 6,33020,Verzegnis,46.3832702,12.992266,,,,
IT-UD0232,,Biblioteca comunale,Via Giulio Cesare 19,33020,Zuglio,46.4618373,13.0260939,+39 043392562,+39 043392562,,
IT-UD0405,FVG44,"Biblioteca comunale ""Ferruccio Fontanini""",Via Adelaide Ristori 12,33040,Attimis,46.1899667680492,13.3096301473602,+39 0432789550,,biblioteca@com-attimis.regione.fvg.it,http://www.comune.attimis.ud.it/index.php?id=13377&L=930#top
IT-UD0406,FVG47,Biblioteca comunale,Via G. Matteotti 16,33045,Nimis,46.201276,13.2656039999999,+39 0432797454,,biblioteca@com-nimis.region.fvg.it,http://www.comune.nimis.ud.it/index.php?id=20432&L=0
IT-UD0410,,Biblioteca Comunale,via delle Scuole 38,33020,Rigolato,46.5524756,12.8536215,+39 0433618806,,biblioteca@com-rigolato.regione.fvg.it,
IT-UD0411,FVG54,Biblioteca comunale,Via Centro Studi 37,33030,Coseano,46.08775139999999,12.9926169,+39 0432862100,,biblio-coseano@libero.it,https://www.sbhu.it/coseano
IT-UD0412,FVG55,Biblioteca comunale Giulio Andrea Pirona,Via San Gallo 33,33030,Dignano,46.0872515,12.9378789,+39 0432951596,,biblioteca.dignano@gmail.com,https://www.sbhu.it/dignano
IT-UD0413,,Biblioteca Comunale,via SINODO 28,33050,Marano Lagunare,45.76482000000001,13.16728,+39 0431640506,,biblioteca@comune.maranolagunare.ud.it,
IT-UD0415,,Biblioteca comunale,via ROMA,33050,Pocenia,,,,,biblioteca@comune.pocenia.ud.it,
IT-UD0416,,Biblioteca comunale,via MONTE SART 12,33010,Resia,,,+39 0433-53554,,biblio-museo@libero.it,
